,Date,MinTemp,MaxTemp,Rainfall,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
40,2008-03-12,19.3,26.4,0.0,13,4,7.0,22.0,77.0,60.0,1021.9,1018.8,22.2,25.0,0,0
41,2008-03-13,19.2,26.1,0.0,14,2,6.0,20.0,84.0,69.0,1019.7,1019.0,22.4,25.3,0,0
42,2008-03-14,18.8,26.0,0.0,13,1,9.0,24.0,84.0,62.0,1022.8,1020.0,21.8,25.7,0,0
43,2008-03-15,19.3,26.1,0.0,7,1,2.0,20.0,80.0,64.0,1022.1,1020.9,22.5,25.6,0,0
44,2008-03-16,19.7,25.8,0.0,13,0,7.0,24.0,81.0,69.0,1024.6,1022.6,22.8,24.7,0,0
45,2008-03-17,19.5,25.7,0.0,14,0,4.0,22.0,82.0,60.0,1024.8,1022.8,22.0,25.4,0,0
46,2008-03-18,19.0,26.7,0.0,3,1,11.0,20.0,73.0,58.0,1023.3,1020.0,22.2,25.6,0,0
47,2008-03-19,19.9,26.9,0.0,10,0,7.0,13.0,70.0,60.0,1021.2,1019.4,23.9,24.9,0,0
48,2008-03-20,19.7,28.1,0.0,5,4,6.0,17.0,70.0,58.0,1014.3,1009.6,23.5,27.6,0,0
49,2008-03-21,17.7,19.6,1.0,8,11,26.0,22.0,87.0,80.0,1017.3,1018.9,17.8,18.4,0,1
50,2008-03-22,16.9,23.2,2.2,2,0,24.0,30.0,81.0,60.0,1022.8,1022.2,19.6,21.7,1,0
51,2008-03-23,16.3,24.8,0.4,14,2,9.0,13.0,82.0,57.0,1023.1,1020.6,18.5,24.8,0,1
52,2008-03-24,18.5,24.3,17.0,6,1,7.0,26.0,95.0,72.0,1018.7,1015.3,19.9,23.3,1,0
53,2008-03-25,19.8,27.5,0.4,4,6,4.0,17.0,81.0,58.0,1011.1,1006.9,21.4,27.0,0,1
54,2008-03-26,17.0,27.2,19.0,4,7,0.0,6.0,76.0,38.0,1008.9,1007.9,20.5,27.1,1,0
55,2008-03-27,15.0,23.6,0.0,13,2,20.0,19.0,52.0,42.0,1014.7,1013.4,17.5,21.8,0,0
56,2008-03-28,15.2,21.7,0.0,11,9,13.0,17.0,71.0,51.0,1017.1,1016.2,18.3,21.2,0,0
57,2008-03-29,14.4,22.9,0.2,13,0,15.0,15.0,85.0,65.0,1015.4,1011.2,16.7,21.7,0,0
58,2008-03-30,13.1,26.8,0.0,13,14,22.0,15.0,61.0,22.0,1013.0,1009.0,16.9,25.9,0,0
59,2008-03-31,13.5,25.6,0.0,14,14,9.0,17.0,57.0,31.0,1015.0,1012.5,16.3,24.9,0,0
60,2008-04-01,13.7,23.9,0.0,13,2,20.0,15.0,55.0,54.0,1023.0,1021.5,16.7,23.3,0,0
61,2008-04-02,14.1,28.7,0.0,13,3,6.0,22.0,75.0,34.0,1019.0,1012.4,17.8,28.0,0,0
62,2008-04-03,16.4,22.2,0.0,12,15,26.0,20.0,42.0,21.0,1009.9,1010.8,16.6,21.2,0,0
63,2008-04-04,11.2,22.2,0.0,13,0,24.0,15.0,47.0,37.0,1020.8,1019.2,13.9,21.0,0,0
64,2008-04-05,11.6,22.7,0.0,14,0,13.0,17.0,71.0,50.0,1024.5,1023.4,15.2,21.0,0,0
65,2008-04-06,13.1,22.7,0.0,13,2,13.0,20.0,71.0,55.0,1027.2,1024.6,17.7,22.1,0,1
66,2008-04-07,15.3,22.0,12.0,11,10,11.0,15.0,83.0,70.0,1026.3,1024.2,18.2,19.8,1,1
67,2008-04-08,14.6,22.1,9.6,9,9,20.0,17.0,86.0,75.0,1026.5,1024.1,17.0,18.9,1,1
68,2008-04-09,15.6,22.2,22.8,13,0,13.0,20.0,96.0,62.0,1024.6,1021.4,16.3,21.1,1,1
69,2008-04-10,13.8,22.7,2.2,13,0,15.0,15.0,77.0,60.0,1022.1,1019.7,18.7,21.9,1,0
70,2008-04-11,14.1,23.5,0.0,13,0,15.0,15.0,83.0,61.0,1020.1,1017.5,17.1,22.1,0,0
71,2008-04-12,14.0,23.8,0.0,13,0,11.0,9.0,79.0,59.0,1018.6,1016.0,17.6,22.2,0,0
72,2008-04-13,15.1,22.7,0.0,13,2,11.0,4.0,81.0,75.0,1016.4,1013.4,17.4,19.7,0,1
73,2008-04-14,13.2,18.9,11.0,11,8,19.0,30.0,82.0,64.0,1019.6,1019.2,15.9,18.8,1,1
74,2008-04-15,13.8,19.7,2.8,12,8,20.0,22.0,85.0,71.0,1025.4,1023.9,15.9,19.0,1,1
75,2008-04-16,13.8,20.9,1.4,11,11,15.0,20.0,78.0,85.0,1026.4,1024.6,17.2,16.2,1,1
76,2008-04-17,14.9,19.7,4.6,11,8,17.0,13.0,91.0,72.0,1025.1,1023.4,16.4,19.4,1,1
77,2008-04-18,15.3,20.0,6.4,13,10,4.0,15.0,94.0,75.0,1025.4,1023.7,16.4,19.6,1,1
78,2008-04-19,15.9,21.4,5.0,9,9,22.0,24.0,51.0,61.0,1027.2,1026.1,19.3,19.5,1,1
79,2008-04-20,15.2,19.1,2.8,2,8,15.0,6.0,79.0,75.0,1026.6,1023.7,17.3,18.4,1,1
80,2008-04-21,14.7,19.3,21.8,11,8,9.0,19.0,91.0,70.0,1023.2,1021.4,16.6,19.0,1,1
81,2008-04-22,14.4,20.3,10.2,10,9,9.0,20.0,90.0,55.0,1023.6,1022.3,16.1,20.1,1,1
82,2008-04-23,14.7,17.9,12.6,12,10,6.0,22.0,90.0,89.0,1024.0,1022.1,16.2,17.2,1,1
83,2008-04-24,14.7,20.0,15.6,8,8,19.0,20.0,93.0,80.0,1021.3,1018.6,16.8,19.3,1,1
84,2008-04-25,16.8,21.2,5.4,10,8,17.0,15.0,55.0,69.0,1016.25,1013.9,19.7,20.3,1,0
85,2008-04-26,12.7,24.8,0.4,13,0,15.0,6.0,81.0,38.0,1011.2,1007.0,15.6,24.6,0,0
86,2008-04-27,15.6,26.1,0.0,6,3,20.0,22.0,51.0,28.0,1005.2,999.1,20.3,25.7,0,0
87,2008-04-28,11.9,16.8,0.0,13,15,20.0,24.0,46.0,33.0,1007.4,1008.6,13.7,15.6,0,0
88,2008-04-29,8.6,18.4,0.0,13,10,24.0,9.0,54.0,41.0,1020.4,1019.8,11.7,17.8,0,0
89,2008-04-30,8.4,19.6,0.0,13,0,15.0,17.0,68.0,50.0,1024.2,1021.3,11.6,18.1,0,0
90,2008-05-01,11.6,18.2,0.0,14,13,11.0,7.0,74.0,56.0,1019.7,1016.7,13.4,18.1,0,0
91,2008-05-02,10.8,22.2,0.0,13,15,19.0,17.0,65.0,44.0,1018.7,1015.3,14.5,21.7,0,0
92,2008-05-03,10.9,19.6,0.0,13,10,19.0,11.0,62.0,52.0,1019.3,1016.9,14.1,18.6,0,0
93,2008-05-04,9.4,20.3,0.0,13,9,22.0,11.0,64.0,47.0,1021.1,1018.3,12.4,19.4,0,0
94,2008-05-05,9.4,22.3,0.0,13,7,15.0,7.0,71.0,34.0,1018.7,1015.2,12.4,22.2,0,0
95,2008-05-06,11.8,23.6,0.0,13,14,9.0,9.0,74.0,48.0,1017.1,1013.3,13.7,21.1,0,0
96,2008-05-07,13.0,23.0,0.0,13,10,22.0,13.0,57.0,44.0,1014.3,1011.8,16.5,22.0,0,0
97,2008-05-08,11.0,21.8,0.0,13,8,24.0,15.0,63.0,45.0,1019.2,1017.5,14.0,20.8,0,0
98,2008-05-09,11.0,21.9,0.0,13,9,17.0,11.0,75.0,60.0,1021.4,1020.2,14.3,20.6,0,0
99,2008-05-10,12.6,21.3,0.0,14,0,11.0,11.0,86.0,67.0,1022.2,1019.6,15.2,19.3,0,0
100,2008-05-11,14.0,19.4,0.0,14,10,13.0,15.0,84.0,67.0,1023.1,1021.2,16.8,18.7,0,0
101,2008-05-12,12.4,19.5,0.0,13,0,11.0,15.0,88.0,63.0,1023.5,1020.5,14.9,19.2,0,0
102,2008-05-13,13.2,19.7,0.0,13,0,11.0,9.0,88.0,67.0,1023.4,1021.7,15.0,18.1,0,0
103,2008-05-14,11.2,20.6,0.0,13,1,20.0,19.0,82.0,64.0,1023.8,1020.5,13.8,20.0,0,0
104,2008-05-15,12.0,21.4,0.2,13,0,13.0,9.0,90.0,60.0,1022.2,1017.8,13.9,21.3,0,1
105,2008-05-16,13.8,23.2,1.2,14,4,15.0,15.0,78.0,66.0,1017.1,1013.0,15.9,20.9,1,0
106,2008-05-17,15.2,21.8,0.0,6,6,20.0,17.0,52.0,41.0,1008.4,1003.6,19.2,20.9,0,0
107,2008-05-18,8.8,17.8,0.0,13,13,19.0,31.0,57.0,36.0,1007.0,1006.3,11.6,17.0,0,0
108,2008-05-19,10.7,20.5,0.0,13,14,22.0,7.0,58.0,36.0,1015.7,1013.3,12.5,20.3,0,0
109,2008-05-20,10.3,21.7,0.0,13,13,24.0,7.0,64.0,38.0,1020.1,1017.5,13.0,21.3,0,0
110,2008-05-21,11.1,18.9,0.0,14,8,19.0,22.0,74.0,64.0,1022.4,1022.8,13.5,17.3,0,0
111,2008-05-22,11.9,18.7,0.0,11,10,20.0,19.0,63.0,52.0,1028.2,1026.2,15.1,17.4,0,0
112,2008-05-23,11.0,18.4,0.0,14,10,17.0,13.0,76.0,53.0,1026.9,1024.6,12.7,17.1,0,0
113,2008-05-24,11.4,20.1,0.0,13,7,13.0,2.0,71.0,39.0,1025.4,1022.7,13.3,19.3,0,0
114,2008-05-25,8.8,18.3,0.0,13,1,17.0,11.0,78.0,58.0,1025.1,1022.2,11.1,16.9,0,0
115,2008-05-26,10.9,21.1,0.4,13,1,20.0,13.0,81.0,58.0,1025.9,1022.6,12.9,19.5,0,0
116,2008-05-27,11.5,22.4,0.0,13,0,15.0,13.0,82.0,71.0,1024.6,1021.8,13.6,19.1,0,0
117,2008-05-28,11.0,19.2,0.0,13,4,26.0,2.0,80.0,74.0,1025.6,1023.9,12.8,18.6,0,0
118,2008-05-29,11.0,18.6,1.0,13,8,19.0,4.0,86.0,76.0,1030.2,1029.1,12.7,17.6,0,0
119,2008-05-30,10.9,21.0,0.2,13,0,19.0,7.0,87.0,58.0,1032.0,1028.7,12.7,19.6,0,0
120,2008-05-31,10.8,20.1,0.0,14,10,17.0,17.0,90.0,61.0,1028.6,1026.66,11.7,19.4,0,0
121,2008-06-01,11.6,20.5,0.2,13,9,19.0,17.0,91.0,74.0,1029.3,1027.0,14.3,18.7,0,1
122,2008-06-02,14.3,17.6,22.0,13,13,9.0,7.0,97.0,90.0,1027.3,1024.8,15.3,17.1,1,1
123,2008-06-03,15.2,19.1,4.0,13,0,17.0,22.0,98.0,90.0,1026.4,1024.1,15.6,16.7,1,1
124,2008-06-04,15.5,18.3,9.2,9,2,19.0,26.0,87.0,88.0,1023.1,1020.5,17.5,17.2,1,1
125,2008-06-05,15.2,16.9,46.4,11,8,24.0,24.0,82.0,84.0,1020.1,1018.6,16.0,16.6,1,1
126,2008-06-06,14.7,17.4,12.4,15,11,15.0,24.0,81.0,70.0,1021.2,1020.3,15.1,16.6,1,0
127,2008-06-07,11.7,18.2,0.0,13,8,19.0,24.0,76.0,49.0,1025.0,1025.7,13.3,17.9,0,1
128,2008-06-08,12.7,17.7,6.0,14,2,17.0,17.0,97.0,71.0,1032.1,1029.8,14.1,17.2,1,1
129,2008-06-09,13.0,16.9,3.6,13,2,13.0,2.0,96.0,89.0,1030.9,1028.0,13.9,16.2,1,1
130,2008-06-10,12.4,19.9,1.6,13,3,13.0,9.0,98.0,68.0,1027.5,1023.9,13.2,19.1,1,0
131,2008-06-11,13.2,19.9,0.0,6,3,6.0,4.0,74.0,70.0,1022.9,1020.6,17.3,19.6,0,1
132,2008-06-12,13.7,22.1,5.4,13,1,11.0,7.0,97.0,64.0,1022.4,1018.1,14.1,20.1,1,0
133,2008-06-13,14.0,18.8,0.0,7,15,20.0,26.0,67.0,42.0,1012.2,1011.5,16.6,16.7,0,0
134,2008-06-14,9.6,14.6,0.0,13,12,30.0,24.0,49.0,52.0,1022.0,1022.5,11.2,14.1,0,0
135,2008-06-15,10.6,15.3,0.0,11,11,24.0,26.0,75.0,87.0,1024.4,1022.8,13.7,14.5,0,1
136,2008-06-16,13.3,16.8,7.2,11,11,19.0,20.0,86.0,83.0,1024.2,1023.0,15.0,15.8,1,1
137,2008-06-17,13.1,17.5,3.4,13,11,11.0,13.0,88.0,73.0,1026.7,1024.8,14.2,17.3,1,0
138,2008-06-18,13.6,19.4,0.0,13,4,13.0,2.0,90.0,69.0,1025.5,1022.1,14.8,19.2,0,0
139,2008-06-19,12.8,20.3,0.0,14,2,13.0,13.0,91.0,69.0,1020.3,1017.4,13.9,18.6,0,1
140,2008-06-20,13.8,17.9,3.6,13,13,19.0,19.0,81.0,60.0,1018.3,1016.2,14.3,17.2,1,1
141,2008-06-21,11.6,18.5,2.2,13,15,15.0,17.0,66.0,40.0,1020.7,1018.9,13.2,18.0,1,0
142,2008-06-22,9.7,17.3,0.0,13,11,22.0,22.0,61.0,54.0,1023.2,1024.0,11.4,16.3,0,0
143,2008-06-23,8.2,17.1,0.0,14,15,13.0,13.0,74.0,43.0,1023.7,1020.4,9.9,17.0,0,0
144,2008-06-24,9.2,19.2,0.0,13,14,19.0,9.0,72.0,45.0,1027.0,1023.1,10.7,18.8,0,0
145,2008-06-25,9.9,19.6,0.0,13,14,17.0,6.0,69.0,43.0,1024.6,1020.6,11.8,19.4,0,0
146,2008-06-26,10.2,20.2,0.0,14,13,28.0,28.0,47.0,38.0,1017.0,1016.8,14.6,19.3,0,0
147,2008-06-27,9.5,19.4,0.0,13,15,24.0,15.0,57.0,32.0,1025.9,1023.6,10.8,18.9,0,0
148,2008-06-28,7.9,18.7,0.0,13,10,20.0,9.0,68.0,43.0,1027.6,1024.7,10.1,18.1,0,0
149,2008-06-29,7.9,21.0,0.0,14,6,13.0,6.0,84.0,42.0,1024.1,1018.8,9.2,20.8,0,0
150,2008-06-30,9.2,22.1,0.0,6,7,19.0,28.0,47.0,35.0,1017.1,1010.3,13.8,21.6,0,0
151,2008-07-01,10.3,19.6,0.2,6,13,0.0,41.0,45.0,34.0,1011.0,1008.5,13.1,19.2,0,0
152,2008-07-02,10.8,19.2,0.0,14,13,26.0,31.0,55.0,35.0,1012.5,1011.2,14.6,18.8,0,0
153,2008-07-03,9.2,17.9,0.0,13,14,17.0,7.0,63.0,42.0,1022.7,1020.8,10.7,17.4,0,1
154,2008-07-04,8.2,15.0,1.2,13,8,20.0,9.0,84.0,88.0,1029.0,1028.2,9.1,12.9,1,1
155,2008-07-05,9.1,17.4,14.2,14,4,11.0,15.0,78.0,48.0,1031.9,1028.9,11.3,16.8,1,0
156,2008-07-06,8.3,18.4,0.0,13,10,15.0,4.0,84.0,59.0,1029.2,1025.7,9.8,17.7,0,0
157,2008-07-07,9.7,19.8,0.0,13,3,9.0,11.0,87.0,55.0,1024.4,1019.7,11.3,19.3,0,0
158,2008-07-08,10.5,17.2,0.2,13,9,11.0,7.0,80.0,49.0,1020.9,1017.4,12.1,16.4,0,0
159,2008-07-09,6.9,13.3,0.0,13,15,15.0,20.0,57.0,43.0,1018.0,1015.7,9.6,13.2,0,1
160,2008-07-10,7.2,15.8,1.8,14,7,11.0,26.0,58.0,38.0,1014.6,1010.0,10.2,15.8,1,0
161,2008-07-11,10.0,16.5,0.0,13,15,24.0,20.0,46.0,27.0,1016.5,1017.0,11.3,16.1,0,0
162,2008-07-12,5.7,15.9,0.0,13,4,17.0,13.0,67.0,45.0,1027.5,1023.5,7.8,15.0,0,0
163,2008-07-13,7.8,17.3,0.0,13,3,4.0,17.0,67.0,58.0,1024.2,1021.2,11.5,17.1,0,0
164,2008-07-14,10.1,23.1,0.0,13,0,0.0,7.0,80.0,54.0,1021.5,1017.3,12.0,22.9,0,0
165,2008-07-15,9.7,19.8,0.0,13,2,20.0,11.0,81.0,70.0,1020.8,1018.4,11.1,17.4,0,0
166,2008-07-16,8.9,18.0,0.0,14,10,13.0,11.0,81.0,50.0,1022.2,1019.1,10.8,17.4,0,0
167,2008-07-17,8.2,18.5,0.0,13,3,15.0,17.0,84.0,38.0,1019.2,1013.3,10.1,17.3,0,0
168,2008-07-18,8.2,18.7,0.0,13,13,13.0,39.0,73.0,21.0,1010.1,1007.3,10.1,17.9,0,0
169,2008-07-19,8.1,18.2,0.0,13,13,4.0,6.0,53.0,32.0,1016.2,1014.1,10.9,18.2,0,0
170,2008-07-20,10.8,17.6,0.0,3,4,6.0,4.0,41.0,55.0,1015.4,1008.6,14.6,16.8,0,1
171,2008-07-21,10.4,17.5,2.8,7,13,26.0,31.0,56.0,31.0,1006.2,1008.1,13.1,16.7,1,0
172,2008-07-22,7.2,15.1,0.0,13,11,19.0,22.0,52.0,31.0,1024.8,1025.2,8.8,13.9,0,0
173,2008-07-23,5.5,14.7,0.0,13,11,22.0,19.0,67.0,61.0,1031.5,1029.6,7.0,14.1,0,1
174,2008-07-24,6.9,15.9,7.0,13,2,19.0,22.0,95.0,70.0,1029.3,1025.4,10.9,14.7,1,1
175,2008-07-25,9.8,12.7,8.8,15,8,15.0,17.0,93.0,81.0,1022.6,1020.1,10.5,12.6,1,1
176,2008-07-26,6.2,17.0,16.2,13,10,24.0,13.0,79.0,47.0,1018.3,1014.3,8.4,15.5,1,0
177,2008-07-27,6.3,17.6,0.0,13,2,11.0,6.0,71.0,41.0,1013.1,1008.6,9.1,16.4,0,1
178,2008-07-28,7.0,13.6,3.8,13,12,20.0,31.0,79.0,79.0,1011.3,1011.3,8.4,10.2,1,1
179,2008-07-29,8.0,15.0,33.2,13,11,22.0,20.0,86.0,59.0,1017.2,1015.1,9.1,13.5,1,0
180,2008-07-30,6.0,17.0,0.2,13,2,19.0,11.0,65.0,43.0,1016.7,1013.7,9.4,16.2,0,0
181,2008-07-31,6.0,20.3,0.0,13,0,19.0,11.0,71.0,42.0,1016.6,1011.6,7.9,18.5,0,0
182,2008-08-01,7.9,20.8,0.0,14,14,17.0,26.0,40.0,46.0,1004.8,1003.3,17.2,16.8,0,0
183,2008-08-02,9.7,16.8,0.0,13,13,28.0,24.0,48.0,32.0,1013.2,1013.3,11.9,16.6,0,0
184,2008-08-03,9.4,18.8,0.0,13,13,20.0,7.0,52.0,34.0,1020.4,1017.7,11.6,18.7,0,0
185,2008-08-04,8.1,17.2,0.0,13,0,13.0,13.0,62.0,45.0,1020.4,1017.1,10.6,15.0,0,0
186,2008-08-05,6.6,16.3,0.0,13,10,22.0,13.0,67.0,52.0,1019.1,1016.1,9.2,16.3,0,0
187,2008-08-06,8.8,15.5,0.0,13,11,15.0,13.0,89.0,70.0,1014.9,1015.6,9.5,14.3,0,0
188,2008-08-07,8.3,16.5,0.8,13,7,20.0,19.0,74.0,75.0,1017.9,1014.6,10.9,11.4,0,1
189,2008-08-08,8.2,18.6,4.6,13,12,17.0,19.0,58.0,38.0,1016.4,1016.9,11.7,18.4,1,0
190,2008-08-09,6.9,17.3,0.0,13,14,19.0,15.0,56.0,37.0,1021.9,1018.1,9.9,16.4,0,0
191,2008-08-10,6.7,15.6,0.0,7,14,19.0,24.0,62.0,38.0,1016.2,1011.8,10.5,13.5,0,0
192,2008-08-11,7.0,15.9,0.4,13,13,33.0,20.0,46.0,35.0,1016.0,1015.4,9.4,15.4,0,0
193,2008-08-12,6.8,16.3,0.0,13,13,19.0,30.0,50.0,28.0,1021.7,1018.8,10.7,15.8,0,0
194,2008-08-13,8.4,17.4,0.0,15,2,22.0,15.0,49.0,34.0,1023.0,1021.9,12.2,16.0,0,0
195,2008-08-14,7.2,18.5,0.0,13,15,22.0,26.0,51.0,28.0,1021.1,1015.6,10.2,18.0,0,0
196,2008-08-15,9.4,18.8,0.0,13,13,22.0,31.0,49.0,33.0,1013.4,1010.2,12.4,18.1,0,0
197,2008-08-16,10.5,18.0,0.0,13,9,22.0,15.0,48.0,42.0,1011.8,1010.5,13.2,16.6,0,0
198,2008-08-17,6.9,16.4,0.0,13,10,17.0,15.0,45.0,35.0,1021.9,1021.8,10.4,15.5,0,0
199,2008-08-18,5.6,15.8,0.0,13,11,20.0,19.0,59.0,33.0,1024.9,1021.2,9.2,15.3,0,0
200,2008-08-19,5.3,17.6,0.6,13,1,22.0,15.0,65.0,32.0,1028.8,1025.4,9.5,17.5,0,0
201,2008-08-20,8.2,19.5,0.0,0,13,2.0,4.0,58.0,35.0,1026.6,1023.2,12.6,19.2,0,0
202,2008-08-21,9.4,20.2,0.0,13,1,7.0,11.0,58.0,44.0,1022.5,1017.1,12.0,18.2,0,1
203,2008-08-22,10.2,11.9,2.6,13,11,15.0,17.0,90.0,87.0,1016.1,1015.5,10.5,10.5,1,1
204,2008-08-23,7.3,14.8,20.8,11,8,24.0,28.0,65.0,53.0,1022.8,1024.1,11.2,13.4,1,0
205,2008-08-24,5.5,17.3,0.0,13,10,24.0,22.0,63.0,47.0,1029.6,1027.9,9.8,16.6,0,0
206,2008-08-25,8.2,16.4,0.0,13,4,15.0,19.0,76.0,48.0,1029.9,1024.8,11.1,16.0,0,0
207,2008-08-26,8.5,21.5,0.0,14,0,19.0,15.0,78.0,51.0,1023.4,1019.3,11.1,18.7,0,0
208,2008-08-27,9.2,17.6,0.0,13,10,19.0,26.0,59.0,55.0,1025.1,1025.3,13.1,15.3,0,1
209,2008-08-28,8.8,16.9,2.4,13,8,13.0,20.0,85.0,59.0,1028.0,1025.3,12.0,15.8,1,0
210,2008-08-29,8.7,18.2,0.0,14,10,19.0,20.0,70.0,62.0,1025.7,1022.3,12.5,16.1,0,0
211,2008-08-30,8.1,16.0,0.0,13,1,13.0,17.0,82.0,65.0,1023.4,1019.1,12.1,15.7,0,1
212,2008-08-31,12.1,19.2,12.0,5,3,15.0,22.0,91.0,71.0,1011.2,1009.555,15.3,19.1,1,0
213,2008-09-01,10.4,21.0,0.2,13,0,7.0,19.0,54.0,41.0,1022.9,1020.8,15.0,19.0,0,0
214,2008-09-02,8.7,20.6,0.0,13,2,19.0,17.0,56.0,39.0,1026.1,1024.4,14.1,18.9,0,0
215,2008-09-03,9.7,17.9,0.0,10,10,22.0,30.0,67.0,64.0,1032.6,1032.4,15.8,16.0,0,0
216,2008-09-04,13.5,17.1,0.4,9,2,20.0,26.0,55.0,64.0,1034.2,1031.0,15.4,15.8,0,1
217,2008-09-05,13.1,15.7,1.6,2,2,28.0,20.0,76.0,88.0,1024.9,1020.8,15.6,14.2,1,1
