,index,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
26,169,2009-05-19,MountGinini,1.6,5.7,0.0,ENE,43.0,NE,ENE,22.0,20.0,98.0,98.0,3.8,5.1,No,No
27,170,2009-05-20,MountGinini,1.3,5.2,0.2,E,59.0,E,ENE,37.0,26.0,98.0,98.0,2.7,4.4,No,No
28,171,2009-05-21,MountGinini,1.5,5.5,0.2,SE,69.0,E,E,39.0,33.0,98.0,94.0,3.4,4.8,No,No
29,172,2009-05-22,MountGinini,2.2,4.7,0.8,E,76.0,E,E,39.0,43.0,98.0,98.0,3.9,4.4,No,Yes
30,173,2009-05-23,MountGinini,3.2,7.2,1.8,E,74.0,ENE,ENE,44.0,33.0,98.0,90.0,3.9,6.0,Yes,No
31,174,2009-05-24,MountGinini,2.7,7.2,0.0,ENE,59.0,ENE,ENE,31.0,22.0,97.0,87.0,3.9,5.7,No,No
32,175,2009-05-25,MountGinini,2.3,7.2,0.0,ENE,44.0,N,NW,17.0,13.0,98.0,85.0,4.1,6.3,No,No
33,176,2009-05-26,MountGinini,3.9,7.6,0.6,W,44.0,WNW,WNW,19.0,15.0,97.0,95.0,5.1,6.8,No,Yes
34,177,2009-05-27,MountGinini,1.8,7.2,5.8,WNW,35.0,W,WNW,13.0,11.0,91.0,64.0,3.0,6.9,Yes,No
35,178,2009-05-28,MountGinini,-0.9,6.5,0.0,ESE,26.0,NE,WNW,9.0,7.0,96.0,62.0,1.6,5.3,No,No
36,179,2009-05-29,MountGinini,-2.3,2.5,0.0,E,39.0,ESE,SE,17.0,17.0,97.0,85.0,-0.1,1.8,No,No
37,180,2009-05-30,MountGinini,-2.0,2.7,0.0,E,61.0,ESE,ESE,20.0,17.0,97.0,81.0,-0.4,2.4,No,No
38,181,2009-05-31,MountGinini,-1.5,3.4,0.2,ENE,59.0,E,ENE,37.0,28.0,97.0,97.0,0.8,2.7,No,Yes
39,182,2009-06-01,MountGinini,0.7,2.9,1.8,ENE,54.0,ENE,ENE,24.0,22.0,95.0,93.0,1.2,1.8,Yes,No
40,183,2009-06-02,MountGinini,0.8,5.0,1.0,ENE,52.0,ENE,ENE,37.0,24.0,90.0,89.0,2.9,4.0,No,Yes
41,184,2009-06-03,MountGinini,2.8,5.5,8.4,NE,46.0,NE,NNE,19.0,15.0,87.0,86.0,3.7,5.0,Yes,Yes
42,185,2009-06-04,MountGinini,3.2,5.3,18.2,NW,33.0,WNW,NW,11.0,4.0,86.0,86.0,4.4,4.9,Yes,Yes
43,186,2009-06-05,MountGinini,0.9,6.5,2.2,NW,38.0,SSW,NW,19.0,15.0,88.0,87.5,1.7,2.3000000000000003,Yes,Yes
44,187,2009-06-06,MountGinini,-0.04999999999999999,3.2,4.800000000000001,WSW,43.0,SSW,NW,18.0,20.5,88.0,88.25,0.85,1.0000000000000002,Yes,Yes
45,188,2009-06-07,MountGinini,-1.0,0.1,7.4,W,57.0,WNW,WNW,17.0,26.0,88.0,89.0,0.0,-0.3,Yes,Yes
46,189,2009-06-08,MountGinini,-1.1,-0.1,10.2,WNW,50.0,WNW,WNW,26.0,20.0,88.0,88.0,-0.5,-0.3,Yes,Yes
47,190,2009-06-09,MountGinini,-3.8,-2.2,9.6,WNW,39.0,WNW,WNW,22.0,13.0,86.0,86.0,-3.4,-2.9,Yes,Yes
48,191,2009-06-10,MountGinini,-6.7,-0.6,9.8,WNW,31.0,WNW,WNW,15.0,17.0,82.0,83.0,-5.9,-5.1,Yes,No
49,192,2009-06-11,MountGinini,-8.5,0.6,1.0,S,31.0,WNW,SW,20.0,15.0,47.0,72.0,-0.9,-0.4,No,No
50,193,2009-06-12,MountGinini,-4.0,3.2,0.0,SW,35.0,SW,WSW,24.0,17.0,45.0,50.0,0.0,2.4,No,No
51,194,2009-06-13,MountGinini,-1.6,2.2,0.0,WNW,52.0,WNW,NW,22.0,24.0,35.0,51.0,-1.4,0.9,No,No
52,195,2009-06-14,MountGinini,-2.4,4.0,0.0,WNW,44.0,NNW,NW,20.0,13.0,78.0,83.0,1.0,2.1,No,No
53,196,2009-06-15,MountGinini,-2.2,3.5,0.0,SW,33.0,SW,SW,20.0,11.0,96.0,62.0,-1.2,2.9,No,No
54,197,2009-06-16,MountGinini,-1.2,3.0,0.0,SE,43.0,SE,SE,22.0,6.0,98.0,88.0,-0.9,1.8,No,No
55,198,2009-06-17,MountGinini,-2.8,4.2,0.0,E,28.0,E,SE,17.0,9.5,98.0,93.0,-0.8,1.5,No,No
56,199,2009-06-18,MountGinini,-1.3,2.9,0.0,NE,44.0,ENE,SE,20.0,11.25,97.0,95.5,-0.2,1.35,No,No
57,200,2009-06-19,MountGinini,-0.9,3.3,0.0,E,59.0,ENE,SE,30.0,12.125,98.0,96.75,0.1,1.275,No,No
58,201,2009-06-20,MountGinini,-0.3,4.0,0.2,ENE,57.0,NE,SE,30.0,12.5625,98.0,97.375,1.6,1.2374999999999998,No,Yes
59,202,2009-06-21,MountGinini,1.5,5.0,17.6,NNE,44.0,NNW,SE,13.0,12.78125,98.0,97.6875,3.0,1.21875,Yes,No
60,203,2009-06-22,MountGinini,1.2,8.1,0.8,NW,20.0,W,SE,13.0,12.890625,77.0,97.84375,3.7,1.209375,No,No
61,204,2009-06-23,MountGinini,0.5,6.8,0.0,W,24.0,WSW,SE,13.0,12.9453125,70.0,97.921875,2.7,1.2046875,No,Yes
62,205,2009-06-24,MountGinini,-1.0,3.9,3.4,NW,37.0,N,WNW,15.0,13.0,97.0,98.0,0.2,1.2,Yes,Yes
63,206,2009-06-25,MountGinini,-1.7,0.4,3.2,W,41.0,WSW,WSW,22.0,20.0,97.0,97.0,-1.7,-0.6,Yes,No
64,207,2009-06-26,MountGinini,-2.1,2.6,0.6,W,33.5,WSW,WSW,0.0,19.5,97.0,97.0,-0.6,0.6499999999999999,No,Yes
65,208,2009-06-27,MountGinini,-0.8500000000000001,4.2,1.6,NNE,26.0,WSW,WSW,6.5,19.25,97.5,97.0,0.6499999999999999,1.275,Yes,Yes
66,209,2009-06-28,MountGinini,0.4,3.0,2.6,SW,48.0,W,W,13.0,19.0,98.0,97.0,1.9,1.9,Yes,Yes
67,210,2009-06-29,MountGinini,-0.8,3.8,1.8,SW,77.5,W,W,26.0,31.0,96.0,85.5,1.3,3.55,Yes,Yes
68,211,2009-06-30,MountGinini,1.1,5.9,11.4,NW,107.0,W,NW,26.0,43.0,91.0,74.0,0.55,5.2,Yes,Yes
69,212,2009-07-01,MountGinini,-0.4,-0.1,21.0,W,74.0,W,WNW,26.0,30.0,86.0,85.0,-0.2,-0.7,Yes,Yes
70,213,2009-07-02,MountGinini,-1.8,-0.7,29.0,SW,50.0,W,WNW,26.0,24.0,84.0,84.0,-1.7,-1.0,Yes,Yes
71,214,2009-07-03,MountGinini,-3.2,-1.8,20.2,W,37.0,WNW,WNW,15.0,13.0,80.0,80.0,-2.8,-1.8,Yes,Yes
72,215,2009-07-04,MountGinini,-4.3,-0.2,2.4,WNW,26.0,WNW,WNW,19.0,13.0,80.0,83.0,-2.5,-1.0,Yes,No
73,216,2009-07-05,MountGinini,-4.5,0.1,0.6,WNW,24.0,WNW,WSW,17.0,2.0,80.0,81.0,-4.1,-0.1,No,No
74,217,2009-07-06,MountGinini,-5.7,0.9,0.0,WNW,30.5,SW,SW,13.0,17.0,52.0,61.0,-2.5,0.4,No,No
75,218,2009-07-07,MountGinini,-5.25,-1.3,0.0,E,37.0,SW,E,16.5,20.0,74.0,74.0,-2.05,-1.6,No,No
76,219,2009-07-08,MountGinini,-4.8,0.1,0.0,E,35.0,ENE,ENE,20.0,17.0,96.0,96.0,-1.6,-0.2,No,No
77,220,2009-07-09,MountGinini,-1.6,2.5,0.0,E,33.0,ENE,ENE,0.0,13.0,97.0,81.0,-0.1,1.6,No,No
78,221,2009-07-10,MountGinini,-0.5,1.8,0.0,NE,37.0,ENE,ENE,17.0,19.0,97.0,88.0,0.5,0.9,No,No
79,222,2009-07-11,MountGinini,-0.2,3.1,0.0,NNW,46.0,NNE,NNW,17.0,13.0,97.0,76.0,-0.1,1.3,No,Yes
80,223,2009-07-12,MountGinini,-0.1,2.7,3.2,WNW,67.0,NW,WNW,39.0,26.0,97.0,95.0,1.6,2.3,Yes,No
81,224,2009-07-13,MountGinini,-1.5,-0.6,1.0,W,67.0,W,W,30.0,26.0,94.0,95.0,-1.1,-1.0,No,Yes
82,225,2009-07-14,MountGinini,-2.9,-0.6,12.6,WNW,39.0,W,W,17.0,19.0,93.0,95.0,-2.2,-1.2,Yes,Yes
83,226,2009-07-15,MountGinini,-5.0,1.6,3.0,W,20.0,WSW,W,2.0,0.0,87.0,86.0,-2.4,-0.6,Yes,Yes
84,227,2009-07-16,MountGinini,-4.1,0.3,2.4,SSW,52.0,WSW,SSW,0.0,17.0,83.0,85.0,-2.9,-0.1,Yes,No
85,228,2009-07-17,MountGinini,-3.1,5.2,0.0,SSW,50.0,ESE,NW,11.0,11.0,72.0,66.0,0.2,4.5,No,No
86,229,2009-07-18,MountGinini,-3.5,1.2,0.0,W,43.0,W,WNW,20.0,20.0,86.0,75.0,-2.1,-0.3,No,No
87,230,2009-07-19,MountGinini,-3.1,2.6,0.0,W,59.0,W,W,24.0,31.0,98.0,85.0,-1.1,2.0,No,No
88,231,2009-07-20,MountGinini,-1.2,3.0,0.0,NNW,59.0,WNW,WNW,28.0,28.0,98.0,72.0,-0.4,2.8,No,No
89,232,2009-07-21,MountGinini,-1.0,5.9,0.0,NW,59.0,WNW,WNW,13.0,22.0,74.0,48.0,1.8,5.2,No,No
90,233,2009-07-22,MountGinini,1.8,6.0,0.2,NW,72.0,WNW,WNW,28.0,33.0,98.0,98.0,2.5,0.7,No,Yes
91,234,2009-07-23,MountGinini,-1.7,-0.5,8.2,W,52.0,SW,S,15.0,2.0,98.0,98.0,-1.1,-0.9,Yes,Yes
92,235,2009-07-24,MountGinini,-4.4,1.0,2.2,W,56.0,SW,W,0.0,20.0,88.0,86.0,-3.2,0.8,Yes,No
93,236,2009-07-25,MountGinini,-5.1,2.7,0.0,WNW,43.0,WSW,WNW,17.0,17.0,17.0,45.0,0.4,1.3,No,No
94,237,2009-07-26,MountGinini,-2.1,0.5,0.0,NNW,48.0,WNW,W,24.0,20.0,98.0,98.0,-0.1,0.3,No,Yes
95,238,2009-07-27,MountGinini,-3.8,0.3,3.6,SW,54.0,WSW,WSW,26.0,30.0,97.0,93.0,-2.0,-1.1,Yes,No
96,239,2009-07-28,MountGinini,-2.4,0.2,0.2,WSW,52.0,WSW,WSW,22.0,24.0,98.0,98.0,-1.6,-0.2,No,No
97,240,2009-07-29,MountGinini,-2.2,3.0,0.2,WSW,52.0,WSW,WSW,28.0,26.0,98.0,85.0,0.1,2.0,No,No
98,241,2009-07-30,MountGinini,-3.5,2.9,0.0,WSW,63.0,SSW,WSW,19.0,23.0,86.0,87.5,-1.2,1.55,No,Yes
99,242,2009-07-31,MountGinini,-1.6,1.9,2.6,SW,57.0,WSW,W,15.0,20.0,98.0,90.0,0.0,1.1,Yes,No
100,243,2009-08-01,MountGinini,-2.7,2.5,0.0,SW,69.0,SW,WSW,33.0,28.0,98.0,88.0,-1.8,1.3,No,No
101,244,2009-08-02,MountGinini,-3.2,2.0,0.0,WSW,54.0,WSW,WSW,22.0,28.0,98.0,97.0,-0.8,1.0,No,No
102,245,2009-08-03,MountGinini,-1.7,3.4,0.4,W,87.0,WSW,WSW,35.0,29.5,98.0,91.5,-0.5,0.5,No,No
103,246,2009-08-04,MountGinini,-2.9,2.0,0.0,WSW,57.0,WNW,WSW,20.0,31.0,41.0,86.0,-1.6,0.0,No,No
104,247,2009-08-05,MountGinini,-2.5,2.4,0.0,W,61.0,W,W,20.0,22.0,98.0,98.0,0.0,1.3,No,No
105,248,2009-08-06,MountGinini,0.0,5.1,0.6,WSW,50.0,W,WNW,31.0,15.0,98.0,86.0,1.1,3.6,No,No
106,249,2009-08-07,MountGinini,-0.3,2.8,0.0,W,76.0,WNW,WSW,37.0,39.0,93.0,98.0,1.2,-1.2,No,Yes
107,250,2009-08-08,MountGinini,-6.3,5.0,3.8,S,61.0,SSE,WSW,22.0,28.0,32.0,76.0,1.6,0.85,Yes,No
108,251,2009-08-09,MountGinini,-1.5,6.7,0.0,NW,28.0,WSW,WSW,17.0,22.5,22.0,65.0,2.4,1.875,No,No
109,252,2009-08-10,MountGinini,-1.0,4.7,0.0,N,39.0,NW,NW,19.0,17.0,54.0,54.0,1.0,2.9,No,Yes
110,253,2009-08-11,MountGinini,1.0,4.2,1.2,NW,54.0,NE,NNW,15.0,20.0,98.0,98.0,2.0,3.7,Yes,Yes
111,254,2009-08-12,MountGinini,-0.5,0.9,7.2,W,52.0,W,W,22.0,26.0,98.0,98.0,0.0,0.0,Yes,Yes
112,255,2009-08-13,MountGinini,-0.6,2.2,6.2,W,46.5,WSW,W,28.0,33.5,98.0,98.0,0.9,1.8,Yes,Yes
113,256,2009-08-14,MountGinini,-0.4,6.6,3.1,SW,41.0,WSW,W,30.5,37.25,92.5,98.0,1.55,2.7,Yes,No
114,257,2009-08-15,MountGinini,-1.5,8.5,0.0,SW,56.0,SW,W,33.0,39.125,87.0,98.0,2.2,3.1500000000000004,No,No
115,258,2009-08-16,MountGinini,1.6,7.9,0.0,NW,74.0,WNW,NW,31.0,41.0,71.0,98.0,3.9,3.6,No,Yes
116,259,2009-08-17,MountGinini,-1.5,2.6,7.4,NW,55.5,W,NW,30.0,40.0,98.0,69.0,-1.3,1.4,Yes,Yes
117,260,2009-08-18,MountGinini,-0.3,6.3999999999999995,3.7,NW,46.25,W,NW,25.0,39.5,89.0,83.5,0.6,1.7,Yes,Yes
118,261,2009-08-19,MountGinini,0.30000000000000004,10.2,1.85,WNW,37.0,W,NW,22.5,39.25,84.5,90.75,1.55,1.85,Yes,No
119,262,2009-08-20,MountGinini,0.9,10.3,0.0,WNW,43.0,WSW,NW,20.0,39.125,80.0,94.375,2.5,1.925,No,No
120,263,2009-08-21,MountGinini,1.9,3.8,0.0,NW,94.0,NW,WNW,33.0,39.0,98.0,98.0,3.7,2.0,No,Yes
121,264,2009-08-22,MountGinini,-3.9,4.3,22.0,WNW,72.0,W,WNW,19.0,35.0,76.0,97.5,-1.2,4.35,Yes,Yes
122,265,2009-08-23,MountGinini,-1.3,7.8,4.0,WNW,78.0,W,WNW,33.0,31.0,98.0,97.0,3.3,6.7,Yes,Yes
123,266,2009-08-24,MountGinini,2.7,3.4,1.8,WNW,106.0,WNW,WNW,37.0,39.0,98.0,98.0,2.7,2.0,Yes,Yes
124,267,2009-08-25,MountGinini,-4.5,-2.4,5.4,WNW,109.0,W,WNW,35.0,33.0,97.0,98.0,-4.2,-2.8,Yes,Yes
125,268,2009-08-26,MountGinini,-6.3,-0.3,4.6,WSW,78.0,W,W,30.0,26.0,97.0,98.0,-2.25,-1.6,Yes,No
126,269,2009-08-27,MountGinini,-4.6,4.6,0.0,WNW,59.0,W,WNW,28.0,28.0,97.0,44.0,-0.3,4.5,No,No
127,270,2009-08-28,MountGinini,-0.3,8.8,0.6,WNW,59.0,W,W,30.0,24.0,62.0,46.0,3.8,7.7,No,Yes
128,271,2009-08-29,MountGinini,1.5,6.9,3.6,WNW,80.5,NW,NW,35.0,46.0,98.0,98.0,3.4,6.6,Yes,Yes
129,272,2009-08-30,MountGinini,-1.4,0.1,32.6,W,102.0,NW,WSW,28.5,30.0,98.0,93.0,1.2999999999999998,-1.4,Yes,Yes
130,273,2009-08-31,MountGinini,-4.3,3.3499999999999996,2.4,W,81.5,WSW,W,22.0,39.0,98.0,98.0,-0.8,0.2,Yes,Yes
131,274,2009-09-01,MountGinini,-3.5999999999999996,6.6,2.6,W,61.0,WSW,W,19.5,29.0,73.5,74.5,0.9500000000000001,3.0500000000000003,Yes,No
132,275,2009-09-02,MountGinini,-2.9,8.4,0.0,NE,46.0,W,W,17.0,24.0,49.0,62.75,2.7,4.4750000000000005,No,No
133,276,2009-09-03,MountGinini,0.8,10.1,0.0,NW,72.0,NW,W,24.0,21.5,60.0,56.875,6.4,5.1875,No,Yes
134,277,2009-09-04,MountGinini,1.6,6.6,10.0,NW,56.5,WNW,W,20.0,20.25,98.0,53.9375,4.1,5.54375,Yes,No
135,278,2009-09-05,MountGinini,-0.3999999999999999,7.6,0.2,WSW,41.0,WNW,WSW,17.5,19.0,61.0,51.0,4.05,5.9,No,No
136,279,2009-09-06,MountGinini,-2.4,9.7,0.0,NNW,56.0,W,NW,15.0,20.0,24.0,31.0,4.0,8.5,No,Yes
137,280,2009-09-07,MountGinini,0.9,3.8,7.0,NW,67.0,NNW,NW,28.0,21.0,98.0,64.5,2.5,4.45,Yes,Yes
138,281,2009-09-08,MountGinini,-0.7,5.2,11.0,SW,46.0,WSW,NW,20.0,21.5,98.0,81.25,1.2,2.4250000000000003,Yes,Yes
139,282,2009-09-09,MountGinini,-1.8,0.6,8.4,W,46.0,SW,WSW,22.0,22.0,98.0,98.0,-0.5,0.4,Yes,No
140,283,2009-09-10,MountGinini,-2.0,5.7,0.4,W,48.0,SW,WSW,0.0,23.0,98.0,70.0,-0.6,7.3,No,No
141,284,2009-09-11,MountGinini,0.19999999999999996,10.8,0.2,NNW,50.0,SW,WSW,14.0,23.5,74.5,56.0,3.5500000000000003,10.75,No,No
142,285,2009-09-12,MountGinini,2.4,14.5,0.0,NW,65.0,NW,NW,28.0,24.0,51.0,42.0,7.7,14.2,No,No
143,286,2009-09-13,MountGinini,5.9,16.2,0.0,WNW,85.0,WNW,NW,37.0,33.0,39.0,33.0,9.9,15.2,No,No
144,287,2009-09-14,MountGinini,3.3,12.2,0.0,WNW,60.0,NNW,NW,11.0,13.0,26.0,28.0,7.4,11.9,No,No
145,288,2009-09-15,MountGinini,4.3,12.3,0.0,W,35.0,NNW,WNW,13.0,11.0,22.5,41.0,9.600000000000001,11.6,No,No
146,289,2009-09-16,MountGinini,5.3,15.7,0.0,NW,41.0,N,N,15.0,15.0,19.0,40.0,11.8,13.9,No,No
147,290,2009-09-17,MountGinini,7.0,15.7,0.0,NW,42.0,NW,WNW,33.0,35.0,38.0,58.0,11.5,10.6,No,Yes
148,291,2009-09-18,MountGinini,5.45,13.8,20.4,NW,42.5,NW,WNW,31.5,37.0,62.0,78.0,8.95,6.449999999999999,Yes,Yes
149,292,2009-09-19,MountGinini,4.675,11.9,10.2,WNW,43.0,NW,WNW,30.75,38.0,74.0,88.0,7.675,4.375,Yes,No
150,293,2009-09-20,MountGinini,3.9,11.5,0.0,W,67.0,WNW,WNW,30.0,38.5,86.0,93.0,6.4,3.3375,No,No
151,294,2009-09-21,MountGinini,0.2,12.8,0.4,NNW,69.0,WSW,WNW,11.0,38.75,28.0,95.5,7.2,2.8187499999999996,No,Yes
152,295,2009-09-22,MountGinini,5.1,12.3,25.0,NW,80.0,NW,WNW,37.0,38.875,98.0,96.75,6.6,2.5593749999999997,Yes,Yes
153,296,2009-09-23,MountGinini,-0.7,8.600000000000001,18.8,NW,82.5,W,W,35.0,39.0,98.0,98.0,-0.3,2.3,Yes,Yes
154,297,2009-09-24,MountGinini,-0.09999999999999998,4.9,9.4,SW,85.0,W,W,32.5,32.5,90.5,80.5,2.25,5.449999999999999,Yes,No
155,298,2009-09-25,MountGinini,0.5,10.7,0.0,WNW,113.0,WNW,NW,30.0,26.0,83.0,63.0,4.8,8.6,No,Yes
156,299,2009-09-26,MountGinini,-3.5,-2.5,13.0,W,74.0,W,WNW,28.0,26.0,98.0,98.0,-3.3,-3.1,Yes,Yes
157,300,2009-09-27,MountGinini,-6.1,-0.7,20.0,W,52.0,W,WSW,20.0,24.0,98.0,98.0,-2.0,-2.6,Yes,Yes
158,301,2009-09-28,MountGinini,-4.8,2.1,4.4,WSW,52.0,WSW,SW,9.0,20.0,98.0,98.0,-0.7,1.1,Yes,No
159,302,2009-09-29,MountGinini,-1.2,7.5,0.2,WSW,31.0,SW,W,13.0,13.0,97.0,69.0,1.3,7.1,No,No
160,303,2009-09-30,MountGinini,-0.3,9.1,0.2,WSW,50.5,W,WNW,20.0,26.0,58.0,53.0,5.2,8.0,No,No
161,304,2009-10-01,MountGinini,4.05,15.9,0.0,W,70.0,W,WNW,14.5,39.0,53.5,34.0,8.1,13.4,No,No
162,305,2009-10-02,MountGinini,8.4,12.6,0.0,W,43.0,ENE,WNW,9.0,25.0,49.0,66.0,11.0,7.2,No,Yes
163,306,2009-10-03,MountGinini,-0.3,1.4,5.2,ESE,48.0,ESE,WNW,17.0,18.0,98.0,98.0,0.3,1.0,Yes,Yes
164,307,2009-10-04,MountGinini,-0.9,3.8,3.8,ESE,39.5,ESE,NNE,0.0,11.0,98.0,98.0,-0.2,3.0,Yes,Yes
165,308,2009-10-05,MountGinini,-0.04999999999999999,8.6,6.4,ESE,35.25,ESE,NNE,13.0,18.5,98.0,93.0,2.15,4.0,Yes,Yes
166,309,2009-10-06,MountGinini,0.375,5.6,3.8,ESE,33.125,ESE,NW,19.5,26.0,98.0,88.0,3.325,5.0,Yes,Yes
167,310,2009-10-07,MountGinini,0.5875,6.75,5.4,ESE,32.0625,ESE,NW,22.75,20.5,98.0,93.0,3.9125,5.1,Yes,Yes
168,311,2009-10-08,MountGinini,0.6937500000000001,7.325,2.8,ESE,31.53125,ESE,NW,24.375,17.75,98.0,95.5,4.20625,5.15,Yes,No
169,312,2009-10-09,MountGinini,0.7468750000000001,7.612500000000001,0.2,ESE,31.265625,ESE,NW,25.1875,16.375,98.0,96.75,4.353125,5.175000000000001,No,No
170,313,2009-10-10,MountGinini,0.7734375,7.7562500000000005,0.0,ESE,31.1328125,ESE,NW,25.59375,15.6875,98.0,97.375,4.4265625,5.1875,No,No
171,314,2009-10-11,MountGinini,0.78671875,7.9,0.0,W,31.0,ESE,NW,25.796875,15.0,98.0,98.0,4.46328125,5.2,No,Yes
172,315,2009-10-12,MountGinini,0.8,6.3,2.4,NNW,72.0,NW,NNW,26.0,24.0,98.0,98.0,4.5,4.9,Yes,Yes
173,316,2009-10-13,MountGinini,-1.1,1.8,7.6,WNW,72.0,WNW,WNW,35.0,31.0,98.0,98.0,-0.9,-0.1,Yes,Yes
174,317,2009-10-14,MountGinini,-0.9,1.0,15.2,WNW,80.0,WNW,W,0.0,33.0,98.0,98.0,-0.8,0.6,Yes,Yes
175,318,2009-10-15,MountGinini,-0.8,2.1,8.0,WNW,69.0,W,WNW,35.0,22.0,98.0,98.0,-0.5,1.2,Yes,Yes
176,319,2009-10-16,MountGinini,-3.6,5.6499999999999995,9.4,WNW,52.0,SW,WNW,24.0,22.0,97.0,67.5,-1.6,8.5,Yes,No
177,320,2009-10-17,MountGinini,-1.9000000000000001,9.2,0.0,SW,35.0,SW,WNW,17.5,22.0,97.5,52.25,1.15,12.15,No,Yes
178,321,2009-10-18,MountGinini,-0.2,14.4,9.2,SW,44.5,N,WNW,11.0,22.0,98.0,44.625,3.9,13.975000000000001,Yes,No
179,322,2009-10-19,MountGinini,4.7,17.0,0.0,SW,49.25,N,WNW,14.0,22.0,67.0,40.8125,8.95,14.887500000000001,No,No
180,323,2009-10-20,MountGinini,7.15,18.3,0.0,SW,51.625,N,WNW,15.5,22.0,51.5,37.0,11.475,15.8,No,No
181,324,2009-10-21,MountGinini,8.375,19.6,0.0,W,54.0,N,W,16.25,28.0,43.75,23.0,12.7375,18.5,No,No
182,325,2009-10-22,MountGinini,9.6,19.9,0.0,WNW,39.0,NW,W,17.0,18.5,36.0,56.5,14.0,13.45,No,No
183,326,2009-10-23,MountGinini,7.6,15.8,0.0,WNW,47.5,W,W,20.0,13.75,51.0,73.25,10.6,10.925,No,No
