,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Pressure9am,Pressure3pm,Temp9am,RainToday,RainTomorrow
81,2013-05-21,Katherine,22.6,35.5,0.0,NE,33.0,E,ENE,9.0,13.0,77.0,1013.1,1009.3,26.9,No,No
82,2013-05-22,Katherine,23.2,34.9,0.0,W,24.0,NW,W,7.0,11.0,77.0,1013.1,1009.0,27.5,No,No
83,2013-05-23,Katherine,24.9,33.7,0.0,SE,33.0,SE,ESE,13.0,20.0,70.0,1013.6,1010.1,27.2,No,No
84,2013-05-24,Katherine,20.4,27.9,0.0,SE,50.0,SE,SE,30.0,24.0,42.0,1016.5,1012.5,22.2,No,No
85,2013-05-25,Katherine,14.8,27.1,0.0,ESE,50.0,ESE,SE,22.0,24.0,44.0,1017.0,1013.4,19.3,No,No
86,2013-05-26,Katherine,10.9,28.9,0.0,ESE,44.0,SE,ESE,19.0,24.0,49.0,1016.0,1012.7,19.5,No,No
87,2013-05-27,Katherine,16.9,31.1,0.0,E,44.0,E,E,22.0,20.0,42.0,1014.8,1011.4,24.6,No,No
88,2013-05-28,Katherine,17.1,32.0,0.0,ESE,37.0,E,ENE,17.0,13.0,37.0,1014.9,1011.5,31.1,No,No
89,2013-05-29,Katherine,19.6,32.15,0.0,ENE,37.0,E,E,17.0,15.0,73.0,1014.7,1010.9,25.3,No,No
90,2013-05-30,Katherine,18.8,32.3,0.0,E,43.0,ESE,ESE,9.0,20.0,69.5,1015.3,1010.5,25.3,No,No
91,2013-05-31,Katherine,18.4,33.6,0.0,ESE,43.0,ESE,E,15.0,20.0,66.0,1014.5,1010.2,25.3,No,No
92,2013-06-01,Katherine,18.0,33.8,0.0,E,35.0,ENE,NE,20.0,20.0,72.0,1014.3,1009.3,25.0,No,No
93,2013-06-02,Katherine,17.1,33.3,0.0,E,50.0,E,ESE,20.0,24.0,62.0,1013.5,1009.3,26.0,No,No
94,2013-06-03,Katherine,17.2,31.4,0.0,ESE,41.0,ESE,E,24.0,24.0,56.0,1014.7,1010.9,23.4,No,No
95,2013-06-04,Katherine,13.8,30.5,0.0,E,41.0,ESE,SE,17.0,15.0,50.0,1015.0,1010.2,20.7,No,No
96,2013-06-05,Katherine,17.1,32.5,0.0,NE,37.0,ENE,ENE,24.0,19.0,60.5,1013.9,1009.3,24.6,No,No
97,2013-06-06,Katherine,21.2,31.3,0.0,ESE,39.0,E,ENE,22.0,15.0,65.75,1014.1,1010.9,24.6,No,No
98,2013-06-07,Katherine,21.0,33.2,0.0,E,50.0,ESE,ENE,17.0,22.0,68.375,1014.7,1011.3,25.0,No,No
99,2013-06-08,Katherine,18.0,32.5,0.0,E,48.0,E,SE,22.0,24.0,71.0,1014.5,1011.1,24.4,No,No
100,2013-06-09,Katherine,17.1,32.6,0.0,E,50.0,SE,E,15.0,20.0,63.0,1012.9,1009.0,24.8,No,No
101,2013-06-10,Katherine,16.2,32.1,0.0,ESE,39.0,ESE,ESE,11.0,20.0,67.5,1012.3,1009.3,25.3,No,No
102,2013-06-11,Katherine,16.5,34.0,0.0,ESE,35.0,ENE,SE,6.0,15.0,72.0,1012.2,1008.7,25.8,No,No
103,2013-06-12,Katherine,17.3,34.9,0.0,ESE,41.0,ESE,ESE,13.0,20.0,60.0,1011.6,1007.8,24.6,No,No
104,2013-06-13,Katherine,17.5,33.3,0.0,ESE,31.0,ESE,ESE,17.0,17.0,59.0,1012.0,1007.4,24.0,No,No
105,2013-06-14,Katherine,16.5,31.4,0.0,ESE,37.0,SE,ESE,17.0,24.0,65.0,1012.6,1009.4,22.0,No,No
106,2013-06-15,Katherine,12.8,28.8,0.0,ESE,41.0,ESE,ESE,19.0,17.0,39.0,1015.4,1010.9,19.6,No,No
107,2013-06-16,Katherine,10.2,29.4,0.0,E,35.0,ESE,ESE,15.0,15.0,43.5,1013.9,1009.5,20.5,No,No
108,2013-06-17,Katherine,9.1,30.9,0.0,SE,28.0,SE,SSE,9.0,17.0,48.0,1012.2,1008.7,18.5,No,No
109,2013-06-18,Katherine,10.4,30.6,0.0,ESE,39.0,SE,ESE,17.0,19.0,58.5,1013.2,1009.2,19.0,No,No
110,2013-06-19,Katherine,13.1,30.5,0.1,ESE,37.0,ESE,E,20.0,19.0,69.0,1014.3,1011.5,21.0,No,No
111,2013-06-20,Katherine,20.0,27.7,0.0,ESE,35.0,ESE,ESE,13.0,17.0,42.0,1014.7,1013.0,23.2,No,No
112,2013-06-21,Katherine,20.6,30.2,0.0,ESE,37.0,SE,ESE,15.0,22.0,31.0,1016.3,1013.1,23.0,No,No
113,2013-06-22,Katherine,20.5,29.7,0.0,E,43.0,ESE,ESE,19.0,19.0,43.0,1016.5,1013.6,23.2,No,No
114,2013-06-23,Katherine,15.5,30.1,0.0,ESE,37.0,ESE,E,22.0,17.0,38.0,1017.9,1013.7,21.4,No,No
115,2013-06-24,Katherine,14.1,31.4,0.0,E,33.0,SE,ESE,15.0,15.0,58.0,1017.5,1013.2,19.9,No,No
116,2013-06-25,Katherine,13.6,32.7,0.0,ENE,35.0,ESE,ENE,15.0,11.0,53.0,1016.9,1012.0,20.4,No,No
117,2013-06-26,Katherine,13.6,33.5,0.0,NNE,31.0,ENE,E,11.0,7.0,47.0,1015.1,1010.3,22.0,No,No
118,2013-06-27,Katherine,15.9,33.5,0.0,NE,24.0,NNE,ESE,9.0,11.0,61.0,1013.6,1009.2,24.5,No,No
119,2013-06-28,Katherine,15.4,33.2,0.0,E,35.0,SSE,ESE,6.0,20.0,51.0,1014.1,1010.7,22.7,No,No
120,2013-06-29,Katherine,15.7,32.0,0.0,E,44.0,SE,ESE,15.0,26.0,49.0,1017.2,1013.6,21.2,No,No
121,2013-06-30,Katherine,16.0,29.2,0.0,SE,48.0,SE,SE,24.0,24.0,35.0,1019.9,1015.2,21.2,No,No
122,2013-07-01,Katherine,17.5,26.5,0.0,SE,56.0,SE,SE,30.0,26.0,27.0,1018.8,1014.6,19.8,No,No
123,2013-07-02,Katherine,9.4,26.6,0.0,E,54.0,ESE,ESE,20.0,24.0,34.0,1019.0,1014.5,16.9,No,No
124,2013-07-03,Katherine,7.9,28.3,0.0,ESE,41.0,SE,ENE,7.0,13.0,63.0,1017.4,1012.6,17.0,No,No
125,2013-07-04,Katherine,11.9,30.6,0.0,ESE,28.0,ENE,N,17.0,11.0,70.0,1015.4,1010.5,20.9,No,No
126,2013-07-05,Katherine,15.2,31.1,0.0,E,37.0,ESE,ESE,11.0,17.0,47.0,1014.5,1010.7,21.3,No,No
127,2013-07-06,Katherine,15.4,32.4,0.0,SE,39.0,SE,E,13.0,20.0,64.0,1015.5,1011.7,21.3,No,No
128,2013-07-07,Katherine,20.1,32.9,0.0,E,41.0,SE,E,15.0,26.0,40.0,1015.7,1012.2,23.8,No,No
129,2013-07-08,Katherine,18.6,32.9,0.0,ESE,48.0,SE,ESE,13.0,20.0,70.0,1016.7,1012.9,23.5,No,No
130,2013-07-09,Katherine,21.1,32.7,0.0,E,48.0,ESE,E,11.0,28.0,61.0,1016.0,1012.0,25.2,No,No
131,2013-07-10,Katherine,17.4,32.5,0.0,E,48.0,SE,E,19.0,24.0,73.0,1015.5,1011.5,22.8,No,No
132,2013-07-11,Katherine,16.1,32.5,0.0,ESE,52.0,E,ENE,15.0,26.0,67.0,1015.9,1011.9,22.5,No,No
133,2013-07-12,Katherine,17.0,32.2,0.0,ENE,43.0,SE,E,9.0,20.0,82.0,1015.8,1011.9,22.8,No,No
134,2013-07-13,Katherine,18.2,32.8,0.0,E,39.0,E,ESE,17.0,19.0,77.0,1015.4,1011.6,23.6,No,No
135,2013-07-14,Katherine,15.2,32.8,0.0,ESE,41.0,SE,SE,11.0,20.0,71.5,1015.6,1011.6,22.6,No,No
136,2013-07-15,Katherine,14.4,32.2,0.0,E,48.0,ESE,SE,9.0,19.0,66.0,1016.0,1011.9,22.2,No,No
137,2013-07-16,Katherine,13.65,32.5,0.0,E,52.0,ESE,E,13.0,20.0,67.0,1015.6,1011.2,21.8,No,No
138,2013-07-17,Katherine,12.9,32.1,0.0,ENE,41.0,E,ENE,4.0,19.0,61.0,1014.8,1009.6,21.8,No,No
139,2013-07-18,Katherine,15.3,32.6,0.0,NW,24.0,N,N,11.0,9.0,61.0,1014.0,1009.2,23.2,No,No
140,2013-07-19,Katherine,16.8,33.6,0.0,E,28.0,N,ENE,13.0,17.0,68.0,1013.7,1009.3,24.3,No,No
141,2013-07-20,Katherine,15.4,33.3,0.0,ESE,39.0,ESE,SE,2.0,24.0,56.0,1013.2,1008.6,22.6,No,No
142,2013-07-21,Katherine,17.5,30.9,0.0,ESE,39.0,E,E,17.0,20.0,40.0,1014.4,1010.8,22.5,No,No
143,2013-07-22,Katherine,18.5,31.4,0.0,SE,37.0,ESE,ESE,24.0,19.0,35.0,1017.1,1014.0,23.1,No,No
144,2013-07-23,Katherine,15.8,30.5,0.0,SE,46.0,ESE,SE,24.0,28.0,30.0,1020.2,1016.6,21.1,No,No
145,2013-07-24,Katherine,14.9,27.4,0.0,SE,50.0,SE,ESE,30.0,19.0,21.0,1020.2,1015.7,18.1,No,No
146,2013-07-25,Katherine,7.2,27.9,0.0,E,48.0,ESE,E,20.0,19.0,22.0,1019.4,1015.0,17.7,No,No
147,2013-07-26,Katherine,5.2,29.7,0.0,E,39.0,ESE,ENE,11.0,13.0,47.0,1017.6,1013.4,15.5,No,No
148,2013-07-27,Katherine,9.9,32.3,0.0,NNE,35.0,SE,N,7.0,11.0,40.0,1016.4,1012.0,18.4,No,No
149,2013-07-28,Katherine,13.7,32.8,0.0,E,39.0,ENE,ENE,9.0,20.0,61.0,1015.3,1011.5,21.8,No,No
150,2013-07-29,Katherine,14.9,32.6,0.0,E,41.0,SSE,ESE,9.0,19.0,75.0,1015.5,1011.4,20.1,No,No
151,2013-07-30,Katherine,13.2,32.6,0.0,SE,46.0,SE,E,13.0,24.0,58.0,1014.7,1010.4,21.4,No,No
152,2013-07-31,Katherine,13.4,31.5,0.0,ESE,46.0,ESE,ESE,19.0,15.0,52.5,1015.5,1011.0,22.2,No,No
153,2013-08-01,Katherine,11.1,31.0,0.0,SE,37.0,SE,ESE,13.0,17.0,47.0,1014.8,1010.8,19.5,No,No
154,2013-08-02,Katherine,11.0,32.3,0.0,SSE,37.0,SE,SE,13.0,24.0,49.0,1016.5,1012.6,20.5,No,No
155,2013-08-03,Katherine,11.1,30.5,0.0,SE,48.0,SE,SE,26.0,19.0,21.0,1018.6,1014.0,21.6,No,No
156,2013-08-04,Katherine,7.9,31.2,0.0,E,43.0,SE,ESE,15.0,20.0,37.0,1018.0,1013.5,18.2,No,No
157,2013-08-05,Katherine,9.1,31.0,0.0,E,48.0,SE,ENE,13.0,19.0,52.0,1018.1,1013.3,18.8,No,No
158,2013-08-06,Katherine,9.5,31.0,0.0,ESE,43.0,E,ESE,11.0,19.0,48.0,1017.1,1013.2,20.0,No,No
159,2013-08-07,Katherine,8.9,31.6,0.0,ESE,41.0,SE,SSE,17.0,20.0,49.0,1017.4,1012.6,18.1,No,No
160,2013-08-08,Katherine,8.5,31.5,0.0,SE,43.0,S,SE,2.0,20.0,49.0,1016.5,1012.1,18.4,No,No
161,2013-08-09,Katherine,7.9,32.1,0.0,E,43.0,SE,E,9.0,19.0,39.0,1016.0,1010.9,19.9,No,No
162,2013-08-10,Katherine,8.5,32.3,0.0,E,41.0,SE,SE,11.0,22.0,40.0,1015.2,1011.0,19.3,No,No
163,2013-08-11,Katherine,10.2,33.5,0.0,ENE,30.0,WNW,NE,4.0,9.0,52.0,1014.8,1010.8,21.6,No,No
164,2013-08-12,Katherine,11.3,34.6,0.0,ESE,35.0,NE,ESE,2.0,15.0,64.0,1014.4,1009.7,24.0,No,No
165,2013-08-13,Katherine,12.9,34.7,0.0,E,37.0,ENE,ESE,6.0,17.0,59.0,1015.1,1010.7,23.0,No,No
166,2013-08-14,Katherine,14.5,35.2,0.0,SE,35.0,NE,SE,4.0,17.0,63.0,1014.8,1010.7,23.8,No,No
167,2013-08-15,Katherine,15.2,36.1,0.0,E,26.0,NNW,N,7.0,9.0,67.0,1015.5,1010.0,24.8,No,No
168,2013-08-16,Katherine,18.5,35.7,0.0,WNW,26.0,NW,SSE,13.0,9.0,67.0,1014.8,1009.5,26.5,No,No
169,2013-08-17,Katherine,18.5,35.7,0.0,ENE,28.0,N,ESE,13.0,11.0,62.0,1014.1,1009.9,27.2,No,No
170,2013-08-18,Katherine,16.9,35.6,0.0,ESE,41.0,ENE,E,13.0,9.0,55.0,1015.6,1010.9,25.4,No,No
171,2013-08-19,Katherine,17.5,37.1,0.0,NE,44.0,NW,ENE,2.0,19.0,69.0,1014.7,1009.1,26.0,No,No
172,2013-08-20,Katherine,17.5,37.2,0.0,E,44.0,WNW,E,7.0,19.0,70.0,1014.0,1009.3,25.0,No,No
173,2013-08-21,Katherine,18.1,37.0,0.0,E,31.0,WNW,E,7.0,15.0,62.0,1013.7,1009.4,26.1,No,No
174,2013-08-22,Katherine,20.6,33.3,0.0,SSE,31.0,ESE,SSE,13.0,15.0,56.0,1015.3,1011.3,24.7,No,No
175,2013-08-23,Katherine,16.4,32.4,0.0,ESE,46.0,ESE,ESE,19.0,17.0,22.0,1017.6,1013.7,23.1,No,No
176,2013-08-24,Katherine,11.8,31.3,0.0,ESE,44.0,SE,ESE,15.0,19.0,44.0,1018.8,1013.7,21.3,No,No
177,2013-08-25,Katherine,8.4,32.6,0.0,SE,39.0,SE,E,15.0,17.0,35.0,1018.1,1013.1,20.3,No,No
178,2013-08-26,Katherine,15.5,34.0,0.0,ENE,46.0,E,SE,15.0,19.0,47.0,1017.5,1012.6,23.5,No,No
179,2013-08-27,Katherine,15.9,34.4,0.0,E,39.0,E,SE,7.0,20.0,53.0,1017.6,1012.8,24.5,No,No
180,2013-08-28,Katherine,14.4,35.0,0.0,E,28.0,SW,SSE,2.0,15.0,59.0,1016.5,1011.4,24.3,No,No
181,2013-08-29,Katherine,16.0,35.8,0.0,ENE,33.0,N,E,13.0,20.0,55.0,1016.1,1010.6,26.5,No,No
182,2013-08-30,Katherine,18.3,35.6,0.0,ESE,26.0,NNW,ESE,9.0,17.0,69.0,1016.3,1011.5,27.0,No,No
183,2013-08-31,Katherine,19.4,36.6,0.0,SE,43.0,WNW,S,9.0,17.0,64.0,1015.8,1011.1,27.4,No,No
184,2013-09-01,Katherine,18.5,37.2,0.0,ESE,54.0,W,ESE,7.0,24.0,59.0,1016.5,1011.7,27.5,No,No
185,2013-09-02,Katherine,15.3,34.6,0.0,ENE,52.0,E,ENE,15.0,28.0,45.0,1017.9,1012.5,25.5,No,No
186,2013-09-03,Katherine,16.7,34.5,0.0,E,50.0,NE,ESE,9.0,28.0,64.0,1017.4,1012.7,24.0,No,No
187,2013-09-04,Katherine,17.2,33.6,0.0,E,59.0,SE,ENE,7.0,22.0,60.0,1017.1,1012.7,23.5,No,No
188,2013-09-05,Katherine,15.7,33.2,0.0,E,59.0,E,ESE,13.0,28.0,63.0,1017.1,1012.7,23.2,No,No
189,2013-09-06,Katherine,15.7,33.3,0.0,E,56.0,E,E,15.0,20.0,61.0,1017.5,1012.4,23.6,No,No
190,2013-09-07,Katherine,15.2,33.7,0.0,ENE,41.0,E,E,15.0,24.0,49.0,1016.9,1011.9,24.6,No,No
191,2013-09-08,Katherine,17.9,34.9,0.0,SE,35.0,NE,E,7.0,9.0,45.0,1016.7,1010.8,25.2,No,No
192,2013-09-09,Katherine,23.4,35.5,0.0,SSE,31.0,NNE,SSE,13.0,11.0,50.0,1016.1,1009.8,28.0,No,No
193,2013-09-10,Katherine,20.8,36.0,0.0,N,28.0,NNW,SSE,9.0,9.0,73.0,1013.8,1008.7,27.1,No,No
194,2013-09-11,Katherine,22.2,37.8,0.0,ESE,33.0,NW,N,11.0,7.0,64.0,1014.2,1009.1,27.4,No,No
195,2013-09-12,Katherine,21.4,37.9,0.0,E,30.0,WNW,ENE,13.0,11.0,63.0,1015.4,1009.2,28.3,No,No
196,2013-09-13,Katherine,22.6,37.6,0.0,NW,26.0,NNW,W,15.0,11.0,54.0,1014.5,1008.4,29.2,No,No
