,Date,Location,MinTemp,MaxTemp,Rainfall,WindDir9am,WindSpeed9am,Humidity9am,Pressure9am,Pressure3pm,Temp9am,RainToday,RainTomorrow
23,2008-12-24,Albany,14.0,19.6,0.0,SE,7.0,57.0,1016.5,1013.8,17.5,No,No
24,2008-12-25,Albany,12.2,21.1,0.0,WNW,9.0,66.0,1014.7,1013.1,18.0,No,No
25,2008-12-26,Albany,13.4,21.0,0.8,W,6.0,58.0,1015.7,1013.4,18.0,No,No
26,2008-12-27,Albany,17.5,24.6,0.0,W,6.0,77.0,1013.2,1011.0,20.0,No,Yes
27,2008-12-28,Albany,14.75,20.0,2.4,S,19.0,69.0,1018.4,1016.7,17.4,Yes,No
28,2008-12-29,Albany,12.0,21.5,0.0,SSW,4.0,77.0,1018.4,1017.3,17.0,No,No
29,2008-12-30,Albany,16.5,21.0,0.0,ESE,6.0,76.0,1018.1,1014.4,18.4,No,No
30,2008-12-31,Albany,16.9,20.5,0.0,SE,19.0,73.0,1015.2,1014.0,18.3,No,No
31,2009-01-01,Albany,16.4,21.4,0.0,E,13.0,64.0,1017.9,1015.6,19.4,No,No
32,2009-01-02,Albany,17.1,22.8,0.0,ESE,31.0,79.0,1014.5,1011.1,19.8,No,No
33,2009-01-03,Albany,17.8,21.5,0.4,SSE,19.0,72.0,1017.1,1016.7,19.2,No,No
34,2009-01-04,Albany,15.0,24.0,0.0,WSW,2.0,77.0,1020.2,1017.7,19.5,No,No
35,2009-01-05,Albany,15.0,23.5,0.0,SE,7.0,84.0,1018.2,1014.9,19.6,No,No
36,2009-01-06,Albany,18.9,23.0,0.0,S,4.0,75.0,1018.5,1017.2,19.8,No,No
37,2009-01-07,Albany,16.5,23.0,0.0,ENE,9.0,56.0,1021.0,1018.3,18.8,No,No
38,2009-01-08,Albany,17.7,22.2,0.0,E,20.0,73.0,1020.5,1018.5,20.2,No,No
39,2009-01-09,Albany,17.9,23.5,0.0,ESE,15.0,74.0,1020.1,1017.7,21.5,No,No
40,2009-01-10,Albany,15.0,23.5,0.0,NNE,6.0,72.0,1015.8,1015.1,20.0,No,No
41,2009-01-11,Albany,15.5,28.3,0.0,NNE,7.0,73.0,1012.4,1006.4,21.2,No,No
42,2009-01-12,Albany,16.1,25.7,0.0,WNW,6.0,79.0,1005.5,1007.5,22.0,No,Yes
43,2009-01-13,Albany,13.5,20.5,1.2,WSW,24.0,72.0,1016.4,1016.1,18.0,Yes,No
44,2009-01-14,Albany,14.4,22.5,0.8,W,6.0,68.0,1019.7,1019.5,18.5,No,No
45,2009-01-15,Albany,17.0,24.5,0.0,NNE,7.0,63.0,1022.5,1018.5,20.8,No,No
46,2009-01-16,Albany,18.5,31.7,0.0,ENE,7.0,63.0,1015.5,1009.8,22.5,No,No
47,2009-01-17,Albany,19.1,22.0,0.0,SSW,22.0,74.0,1018.2,1018.2,20.2,No,No
48,2009-01-18,Albany,18.3,19.6,0.0,S,7.0,70.0,1020.4,1019.3,19.3,No,No
49,2009-01-19,Albany,16.8,20.3,0.2,SSE,11.0,57.0,1021.0,1018.9,17.2,No,No
50,2009-01-20,Albany,14.8,22.0,0.0,N,7.0,68.0,1018.8,1016.8,17.8,No,No
51,2009-01-21,Albany,16.0,24.5,0.0,WSW,6.0,64.0,1012.9,1009.8,20.0,No,Yes
52,2009-01-22,Albany,17.6,22.7,1.2,WSW,30.0,74.0,1011.5,1009.9,19.5,Yes,Yes
53,2009-01-23,Albany,17.8,20.7,2.8,WSW,20.0,91.0,1010.9,1012.1,18.7,Yes,No
54,2009-01-24,Albany,15.5,23.1,0.0,WSW,6.0,68.0,1015.4,1013.8,18.4,No,Yes
55,2009-01-25,Albany,17.3,23.0,1.4,NNE,4.0,89.0,1017.2,1014.5,18.5,Yes,No
56,2009-01-26,Albany,18.5,23.0,0.0,ESE,9.0,78.0,1007.8,1007.8,22.0,No,No
57,2009-01-27,Albany,16.9,21.0,0.8,ESE,19.0,73.0,1012.9,1011.5,19.4,No,No
58,2009-01-28,Albany,18.0,20.5,0.0,SSE,19.0,82.0,1008.6,1006.8,19.2,No,Yes
59,2009-01-29,Albany,16.0,21.5,5.6,S,15.0,70.0,1010.4,1011.0,18.2,Yes,No
60,2009-01-30,Albany,16.5,22.5,0.0,E,19.0,85.0,1014.2,1013.0,18.5,No,No
61,2009-01-31,Albany,17.5,24.7,1.0,ENE,11.0,70.0,1013.9,1011.3,21.5,No,No
62,2009-02-01,Albany,20.2,26.0,0.0,NE,6.0,84.0,1014.9,1012.7,22.0,No,No
63,2009-02-02,Albany,21.0,25.0,0.0,ENE,15.0,84.0,1013.1,1008.7,23.0,No,No
64,2009-02-03,Albany,20.2,23.0,0.0,WSW,22.0,93.0,1011.2,1011.5,20.8,No,No
65,2009-02-04,Albany,17.0,21.5,0.4,SSW,30.0,77.0,1015.1,1015.5,20.0,No,No
66,2009-02-05,Albany,14.0,22.5,0.0,N,2.0,71.0,1014.7,1012.1,18.0,No,No
67,2009-02-06,Albany,14.0,20.4,0.0,N,0.0,58.0,1009.7,1007.3,19.2,No,Yes
68,2009-02-07,Albany,14.0,18.8,2.4,WSW,31.0,61.0,1014.1,1016.6,17.0,Yes,No
69,2009-02-08,Albany,15.8,21.2,0.0,E,6.0,60.0,1023.3,1022.6,17.8,No,No
70,2009-02-09,Albany,17.6,22.5,0.0,ESE,19.0,59.0,1024.7,1022.9,19.5,No,No
71,2009-02-10,Albany,17.0,24.5,0.0,NNE,9.0,56.0,1023.7,1020.0,20.0,No,No
72,2009-02-11,Albany,17.0,28.8,0.0,ENE,17.0,60.0,1016.8,1011.8,19.7,No,No
73,2009-02-12,Albany,19.0,34.5,0.0,NE,9.0,28.0,1008.4,1008.3,28.8,No,No
74,2009-02-13,Albany,17.0,19.8,0.2,S,31.0,80.0,1019.4,1019.6,17.5,No,Yes
75,2009-02-14,Albany,18.0,22.5,2.8,ESE,19.0,84.0,1017.9,1016.6,19.5,Yes,Yes
76,2009-02-15,Albany,19.0,31.0,1.8,NNE,6.0,70.0,1009.5,1005.3,22.0,Yes,No
77,2009-02-16,Albany,16.1,22.4,0.0,NNW,9.0,84.0,1010.5,1010.1,18.7,No,No
78,2009-02-17,Albany,18.2,21.1,0.0,S,19.0,71.0,1015.9,1015.8,19.4,No,No
79,2009-02-18,Albany,17.8,21.4,0.0,SE,15.0,58.0,1017.8,1016.7,18.5,No,No
80,2009-02-19,Albany,17.4,21.0,0.0,E,15.0,60.0,1018.8,1018.1,18.5,No,No
81,2009-02-20,Albany,17.0,22.0,0.0,E,17.0,64.0,1021.6,1019.6,19.5,No,No
82,2009-02-21,Albany,16.6,27.5,0.0,E,9.0,71.0,1015.4,1009.7,19.7,No,No
83,2009-02-22,Albany,18.5,20.4,0.0,SSW,30.0,83.0,1014.6,1016.7,18.5,No,No
84,2009-02-23,Albany,15.2,22.0,0.0,ENE,15.0,57.0,1018.6,1014.4,18.0,No,No
85,2009-02-24,Albany,17.8,25.8,0.0,NE,11.0,78.0,1003.9,1002.8,20.4,No,No
86,2009-02-25,Albany,14.5,22.0,0.0,NNE,7.0,66.0,1005.4,1004.1,17.0,No,No
87,2009-02-26,Albany,12.0,18.7,0.0,N,6.0,78.0,1013.7,1015.8,14.0,No,Yes
88,2009-02-27,Albany,13.5,21.1,1.4,NE,4.0,84.0,1019.2,1016.4,15.6,Yes,Yes
89,2009-02-28,Albany,14.6,22.0,6.4,ENE,6.0,67.0,1017.8,1014.7,19.0,Yes,Yes
90,2009-03-01,Albany,18.5,24.5,5.4,ENE,7.0,87.0,1009.4,1004.8,20.6,Yes,Yes
91,2009-03-02,Albany,17.0,18.2,16.4,WSW,41.0,81.0,1006.5,1010.8,18.0,Yes,No
92,2009-03-03,Albany,13.3,17.8,0.4,SW,17.0,53.0,1025.0,1027.2,14.6,No,No
93,2009-03-04,Albany,14.3,20.2,0.0,NE,2.0,61.0,1031.8,1028.8,16.5,No,No
94,2009-03-05,Albany,15.1,23.6,0.0,NE,9.0,70.0,1027.7,1023.5,17.6,No,No
95,2009-03-06,Albany,14.7,21.4,0.0,NE,0.0,91.0,1024.0,1023.6,17.3,No,No
96,2009-03-07,Albany,16.0,20.5,0.0,E,28.0,61.0,1025.6,1022.9,17.0,No,No
97,2009-03-08,Albany,12.5,25.5,0.0,ENE,6.0,70.0,1020.5,1016.9,17.0,No,No
98,2009-03-09,Albany,16.2,24.0,0.0,NE,2.0,73.0,1017.6,1015.3,19.0,No,No
99,2009-03-10,Albany,16.8,26.0,0.0,ENE,6.0,85.0,1016.3,1012.2,20.7,No,No
100,2009-03-11,Albany,16.2,22.4,0.0,WSW,19.0,84.0,1012.1,1014.7,21.0,No,No
101,2009-03-12,Albany,16.5,19.8,0.0,SSE,2.0,57.0,1017.1,1015.4,17.0,No,No
102,2009-03-13,Albany,13.4,19.0,0.4,SW,19.0,66.0,1020.6,1022.5,16.8,No,No
103,2009-03-14,Albany,14.0,20.0,0.0,NE,4.0,56.0,1025.5,1022.8,17.0,No,No
104,2009-03-15,Albany,15.5,23.6,0.0,E,11.0,71.0,1020.5,1016.1,17.5,No,No
105,2009-03-16,Albany,17.0,36.4,0.0,E,0.0,58.0,1012.1,1007.9,21.4,No,No
106,2009-03-17,Albany,16.9,27.6,0.0,NNW,11.0,71.0,1009.6,1006.1,20.2,No,Yes
107,2009-03-18,Albany,15.0,18.5,1.8,WSW,31.0,61.0,1014.9,1015.5,17.9,Yes,No
108,2009-03-19,Albany,14.7,23.5,0.8,NW,6.0,70.0,1015.9,1011.0,16.9,No,No
109,2009-03-20,Albany,14.5,21.6,0.0,NNW,19.0,62.0,1006.0,1007.5,18.4,No,Yes
110,2009-03-21,Albany,12.6,19.5,4.6,NW,6.0,83.0,1016.6,1016.2,14.5,Yes,No
111,2009-03-22,Albany,9.1,21.2,0.2,NNE,4.0,87.0,1015.7,1012.9,12.4,No,No
112,2009-03-23,Albany,12.3,20.3,0.0,NW,6.0,89.0,1012.2,1011.8,15.0,No,No
113,2009-03-24,Albany,14.2,23.7,0.6,NNW,6.0,81.0,1015.1,1013.7,15.8,No,No
114,2009-03-25,Albany,15.0,20.0,0.6,NW,2.0,90.0,1020.2,1020.9,16.0,No,No
115,2009-03-26,Albany,11.8,22.8,0.0,NNE,6.0,83.0,1025.9,1021.9,14.5,No,No
116,2009-03-27,Albany,14.2,25.6,0.0,W,6.0,97.0,1018.8,1016.4,16.3,No,No
117,2009-03-28,Albany,15.7,20.5,0.0,WSW,20.0,79.0,1020.0,1021.8,19.7,No,No
118,2009-03-29,Albany,16.0,19.0,0.4,ESE,28.0,61.0,1026.6,1025.1,17.0,No,No
119,2009-03-30,Albany,15.7,18.3,0.2,ENE,13.0,77.0,1019.9,1015.5,17.3,No,Yes
120,2009-03-31,Albany,14.8,18.4,17.6,SSE,15.0,93.0,1018.4,1017.8,15.0,Yes,Yes
121,2009-04-01,Albany,13.2,16.9,7.2,SSW,19.0,53.0,1024.1,1023.5,15.4,Yes,No
122,2009-04-02,Albany,9.2,19.1,0.0,NNW,15.0,57.0,1025.2,1025.6,14.9,No,No
123,2009-04-03,Albany,14.0,18.6,0.2,N,4.0,69.0,1032.2,1030.2,16.5,No,No
124,2009-04-04,Albany,12.8,19.4,0.0,N,0.0,70.0,1033.0,1030.6,16.8,No,No
125,2009-04-05,Albany,15.2,18.6,0.0,ENE,7.0,66.0,1033.2,1030.3,17.0,No,No
126,2009-04-06,Albany,14.3,22.0,0.0,ENE,9.0,69.0,1030.1,1025.6,17.8,No,No
127,2009-04-07,Albany,14.0,22.2,0.0,NNE,7.0,67.0,1026.3,1021.5,18.4,No,No
128,2009-04-08,Albany,13.7,29.0,0.0,NNE,0.0,82.0,1020.5,1016.9,17.8,No,No
129,2009-04-09,Albany,17.0,19.8,0.0,S,19.0,76.0,1021.0,1020.7,19.0,No,No
130,2009-04-10,Albany,16.2,21.4,0.2,NE,7.0,67.0,1020.9,1015.6,17.2,No,No
131,2009-04-11,Albany,16.4,21.4,0.0,ESE,17.0,85.0,1018.3,1017.7,19.6,No,No
132,2009-04-12,Albany,18.9,20.6,0.2,E,24.0,80.0,1023.6,1021.6,19.5,No,No
133,2009-04-13,Albany,17.5,23.0,0.0,ENE,7.0,71.0,1020.2,1014.7,20.4,No,No
134,2009-04-14,Albany,17.0,19.0,0.0,S,15.0,75.0,1019.3,1019.5,17.5,No,No
135,2009-04-15,Albany,14.3,18.0,0.0,W,2.0,63.0,1022.3,1019.7,15.3,No,No
136,2009-04-16,Albany,13.0,19.5,0.0,W,0.0,70.0,1018.8,1015.8,17.0,No,No
137,2009-04-17,Albany,11.5,21.7,0.0,W,0.0,86.0,1017.8,1016.0,16.0,No,No
138,2009-04-18,Albany,16.1,26.0,0.0,E,6.0,78.0,1017.5,1015.0,21.5,No,No
139,2009-04-19,Albany,16.5,24.0,1.0,E,4.0,68.0,1017.4,1014.0,20.0,No,No
140,2009-04-20,Albany,13.4,21.5,0.0,E,0.0,94.0,1015.8,1013.5,16.5,No,No
141,2009-04-21,Albany,16.1,27.0,0.0,ENE,6.0,81.0,1011.6,1005.8,20.0,No,Yes
142,2009-04-22,Albany,13.4,17.4,4.2,SW,44.0,76.0,1011.4,1013.9,16.8,Yes,Yes
143,2009-04-23,Albany,12.6,17.6,2.2,WSW,19.0,79.0,1021.7,1020.7,15.0,Yes,Yes
144,2009-04-24,Albany,14.0,19.3,2.8,W,6.0,81.0,1021.4,1018.7,16.6,Yes,Yes
145,2009-04-25,Albany,14.5,19.0,4.8,SW,28.0,79.0,1022.1,1021.5,17.8,Yes,Yes
146,2009-04-26,Albany,13.6,18.4,1.4,SW,0.0,94.0,1023.5,1022.1,15.0,Yes,No
147,2009-04-27,Albany,12.4,19.5,0.0,SW,0.0,86.0,1022.9,1020.3,14.8,No,No
148,2009-04-28,Albany,11.8,20.2,0.4,NNE,6.0,83.0,1026.2,1024.6,15.8,No,No
149,2009-04-29,Albany,12.6,20.1,0.0,NNE,0.0,86.0,1021.8,1019.8,14.7,No,No
150,2009-04-30,Albany,14.8,17.5,0.6,S,13.0,62.0,1026.3,1025.9,15.6,No,No
151,2009-05-01,Albany,13.5,19.0,0.0,S,0.0,73.0,1030.4,1028.7,15.0,No,No
152,2009-05-02,Albany,8.8,20.5,0.0,WSW,2.0,95.0,1030.4,1026.8,12.3,No,No
153,2009-05-03,Albany,12.0,21.0,0.0,E,4.0,84.0,1028.5,1025.7,16.0,No,No
154,2009-05-04,Albany,11.7,22.4,0.0,E,0.0,74.0,1027.6,1025.7,15.2,No,No
155,2009-05-05,Albany,9.2,22.0,0.0,E,0.0,91.0,1031.0,1029.4,12.9,No,No
156,2009-05-06,Albany,11.2,22.5,0.0,NNE,6.0,67.0,1032.7,1029.7,14.5,No,No
157,2009-05-07,Albany,11.6,22.0,0.0,NNE,6.0,82.0,1031.3,1028.1,15.2,No,No
158,2009-05-08,Albany,11.0,21.5,0.0,NNE,0.0,73.0,1030.5,1027.0,14.5,No,No
159,2009-05-09,Albany,11.0,24.5,0.0,NNE,0.0,83.0,1026.4,1022.1,14.0,No,No
160,2009-05-10,Albany,13.4,24.0,0.0,N,2.0,62.0,1019.9,1018.6,15.5,No,Yes
161,2009-05-11,Albany,13.5,18.5,13.0,S,20.0,76.0,1024.5,1024.4,17.0,Yes,No
162,2009-05-12,Albany,11.1,18.6,0.0,SSE,19.0,73.0,1029.6,1028.2,16.5,No,No
163,2009-05-13,Albany,13.8,18.6,0.0,SSE,0.0,78.0,1029.6,1026.8,15.1,No,No
164,2009-05-14,Albany,8.5,19.6,0.0,SSE,0.0,81.0,1027.1,1023.8,11.5,No,No
165,2009-05-15,Albany,7.5,19.0,0.0,SSE,0.0,87.0,1024.7,1021.2,11.0,No,No
166,2009-05-16,Albany,7.4,21.2,0.0,SSE,0.0,89.0,1022.7,1020.0,9.4,No,No
167,2009-05-17,Albany,7.8,21.4,0.0,SSE,0.0,92.0,1019.9,1015.6,10.4,No,No
168,2009-05-18,Albany,8.8,21.3,0.0,WSW,2.0,73.0,1014.1,1011.3,11.0,No,No
169,2009-05-19,Albany,11.0,21.6,0.0,NW,6.0,80.0,1014.1,1014.2,16.9,No,No
170,2009-05-20,Albany,13.0,24.5,0.4,NNE,4.0,87.0,1010.7,1005.6,14.6,No,Yes
171,2009-05-21,Albany,14.5,23.6,8.4,NNW,6.0,81.0,995.0,991.6,18.4,Yes,Yes
172,2009-05-22,Albany,8.6,14.8,5.4,WNW,7.0,80.0,994.9,995.7,10.8,Yes,Yes
173,2009-05-23,Albany,8.9,14.4,44.0,SW,37.0,60.0,1004.6,1006.9,13.9,Yes,No
174,2009-05-24,Albany,11.5,15.2,0.2,SW,19.0,62.0,1016.7,1016.9,13.9,No,No
175,2009-05-25,Albany,7.3,17.8,0.0,SW,0.0,96.0,1022.3,1020.4,9.5,No,No
176,2009-05-26,Albany,8.6,19.1,0.0,ENE,4.0,71.0,1023.6,1020.6,11.8,No,No
177,2009-05-27,Albany,11.4,19.5,0.0,NE,7.0,72.0,1023.3,1020.7,13.2,No,No
178,2009-05-28,Albany,10.5,19.5,0.8,NE,2.0,83.0,1023.6,1021.2,12.0,No,No
179,2009-05-29,Albany,10.0,21.0,0.0,NE,6.0,77.0,1024.0,1021.0,13.0,No,No
180,2009-05-30,Albany,9.3,20.4,0.0,NNE,9.0,70.0,1021.3,1018.2,11.8,No,No
181,2009-05-31,Albany,11.6,18.9,0.0,NNE,0.0,71.0,1020.0,1018.1,15.4,No,No
182,2009-06-01,Albany,9.6,20.1,0.8,NNE,6.0,92.0,1022.0,1018.7,11.5,No,No
183,2009-06-02,Albany,11.5,18.1,0.2,NNE,0.0,85.0,1018.0,1015.8,14.0,No,Yes
184,2009-06-03,Albany,12.0,18.4,4.6,WNW,7.0,88.0,1017.0,1014.2,13.7,Yes,Yes
185,2009-06-04,Albany,7.8,16.1,31.2,SSW,39.0,87.0,1013.5,1014.6,13.2,Yes,Yes
186,2009-06-05,Albany,12.6,17.0,29.4,SSE,20.0,82.0,1020.9,1022.0,15.5,Yes,Yes
187,2009-06-06,Albany,12.8,16.5,10.4,SSW,26.0,76.0,1025.9,1025.2,15.1,Yes,Yes
188,2009-06-07,Albany,10.3,16.2,4.4,WNW,6.0,84.0,1025.1,1023.1,11.5,Yes,Yes
189,2009-06-08,Albany,7.0,17.5,6.2,WNW,0.0,95.0,1025.0,1023.4,8.8,Yes,No
190,2009-06-09,Albany,7.5,19.6,0.0,NNE,9.0,80.0,1021.4,1016.1,10.0,No,Yes
191,2009-06-10,Albany,9.5,21.3,4.4,N,22.0,86.0,1008.9,1007.1,15.0,Yes,Yes
192,2009-06-11,Albany,12.7,17.0,1.2,NW,7.0,89.0,1009.0,1008.2,13.1,Yes,Yes
193,2009-06-12,Albany,10.0,14.2,12.0,SW,30.0,77.0,1015.6,1016.9,13.0,Yes,Yes
194,2009-06-13,Albany,10.4,15.5,4.2,SW,19.0,57.0,1022.6,1023.1,14.0,Yes,Yes
195,2009-06-14,Albany,9.0,16.8,5.4,NW,19.0,79.0,1025.6,1023.7,12.0,Yes,No
196,2009-06-15,Albany,11.8,19.0,0.4,N,6.0,89.0,1024.2,1021.2,14.6,No,No
197,2009-06-16,Albany,13.0,19.0,0.4,NNW,2.0,83.0,1022.1,1020.0,14.5,No,No
198,2009-06-17,Albany,11.0,19.3,0.8,NNW,9.0,63.0,1017.2,1011.5,13.2,No,Yes
199,2009-06-18,Albany,13.0,18.5,2.4,NNE,4.0,92.0,1012.4,1009.5,14.0,Yes,Yes
200,2009-06-19,Albany,11.3,13.0,14.0,WNW,11.0,89.0,1000.5,1002.4,11.5,Yes,Yes
201,2009-06-20,Albany,7.8,14.2,19.8,N,13.0,82.0,1007.7,1004.5,12.0,Yes,Yes
202,2009-06-21,Albany,9.4,13.2,12.0,N,48.0,55.0,1013.1,1015.5,12.1,Yes,Yes
203,2009-06-22,Albany,10.0,14.0,2.6,WSW,22.0,65.0,1018.1,1016.9,12.5,Yes,No
204,2009-06-23,Albany,7.4,13.0,0.0,ENE,7.0,74.0,1013.1,1008.4,10.2,No,Yes
205,2009-06-24,Albany,7.0,17.5,3.4,NE,15.0,87.0,1005.0,1000.5,10.0,Yes,No
206,2009-06-25,Albany,7.0,18.0,0.8,W,2.0,100.0,1004.0,1004.7,10.0,No,No
207,2009-06-26,Albany,9.6,17.5,0.4,NNE,11.0,91.0,1007.2,1001.7,11.6,No,No
208,2009-06-27,Albany,10.0,16.0,0.2,NE,6.0,71.0,998.1,995.1,12.5,No,Yes
209,2009-06-28,Albany,10.4,17.4,9.6,NNW,7.0,91.0,997.4,994.6,11.9,Yes,Yes
210,2009-06-29,Albany,9.3,12.8,13.6,NW,11.0,83.0,989.2,989.4,9.8,Yes,Yes
211,2009-06-30,Albany,7.8,14.1,26.4,WSW,44.0,65.0,1004.2,1008.6,12.2,Yes,Yes
212,2009-07-01,Albany,8.9,14.8,14.4,WSW,41.0,76.0,1017.5,1020.5,13.2,Yes,No
213,2009-07-02,Albany,10.8,16.5,0.0,NNE,7.0,73.0,1028.2,1027.0,13.4,No,No
214,2009-07-03,Albany,11.2,17.5,0.0,NNE,0.0,79.0,1029.5,1026.9,12.8,No,No
215,2009-07-04,Albany,12.0,16.5,0.0,NNE,2.0,77.0,1025.1,1022.5,13.5,No,No
216,2009-07-05,Albany,8.0,18.5,0.0,NNE,0.0,93.0,1021.8,1018.3,10.0,No,No
217,2009-07-06,Albany,10.2,16.8,0.2,NNE,0.0,78.0,1008.6,1004.3,14.5,No,Yes
218,2009-07-07,Albany,9.9,18.0,12.2,NNW,9.0,80.0,1014.7,1013.7,12.5,Yes,No
219,2009-07-08,Albany,11.0,18.9,0.0,NNW,9.0,80.0,1014.0,1009.8,12.4,No,Yes
220,2009-07-09,Albany,12.4,18.5,3.0,NNW,9.0,91.0,1001.9,1000.5,12.8,Yes,Yes
221,2009-07-10,Albany,10.5,14.0,3.4,NNW,19.0,88.0,1001.8,1004.0,11.5,Yes,Yes
222,2009-07-11,Albany,10.0,14.2,12.2,SW,30.0,70.0,1012.0,1013.1,12.6,Yes,Yes
223,2009-07-12,Albany,10.5,14.4,4.6,WSW,17.0,84.0,1021.3,1021.6,11.8,Yes,Yes
224,2009-07-13,Albany,10.2,14.8,8.0,NW,6.0,68.0,1026.2,1026.6,12.8,Yes,No
225,2009-07-14,Albany,12.3,15.5,0.6,NW,0.0,73.0,1028.4,1027.2,13.3,No,No
226,2009-07-15,Albany,7.5,19.0,0.0,N,6.0,76.0,1020.5,1013.6,11.5,No,No
227,2009-07-16,Albany,11.0,17.1,0.0,N,15.0,57.0,1006.4,1001.1,14.0,No,Yes
228,2009-07-17,Albany,11.0,15.5,10.2,W,31.0,74.0,1009.0,1010.6,13.8,Yes,No
229,2009-07-18,Albany,10.0,18.4,1.0,NW,13.0,79.0,1011.0,1006.8,14.0,No,Yes
230,2009-07-19,Albany,8.4,15.5,34.0,NNW,6.0,88.0,1004.7,1001.6,9.5,Yes,Yes
231,2009-07-20,Albany,6.4,13.7,2.2,NNW,9.0,74.0,995.1,995.2,8.2,Yes,Yes
232,2009-07-21,Albany,6.9,14.8,5.4,SW,35.0,59.0,1007.0,1011.4,13.6,Yes,Yes
233,2009-07-22,Albany,7.4,16.4,5.2,NNW,17.0,71.0,1016.8,1013.3,11.8,Yes,Yes
234,2009-07-23,Albany,9.8,13.5,9.4,NW,19.0,87.0,1016.8,1018.1,10.6,Yes,Yes
235,2009-07-24,Albany,7.3,14.4,1.2,NNW,2.0,64.0,1020.8,1017.5,10.0,Yes,Yes
236,2009-07-25,Albany,8.0,12.5,12.4,SSW,20.0,50.0,1024.6,1027.2,11.5,Yes,No
237,2009-07-26,Albany,8.6,15.0,0.2,NW,7.0,75.0,1029.3,1028.2,10.4,No,No
238,2009-07-27,Albany,10.0,17.6,0.6,NNW,6.0,79.0,1031.1,1029.7,11.5,No,No
239,2009-07-28,Albany,11.0,15.5,0.0,NNW,15.0,66.0,1032.1,1031.1,13.0,No,No
240,2009-07-29,Albany,10.9,17.4,0.0,N,11.0,69.0,1033.4,1031.3,12.5,No,No
241,2009-07-30,Albany,10.6,18.2,0.0,NNW,4.0,71.0,1032.8,1029.7,13.3,No,No
242,2009-07-31,Albany,6.2,18.8,0.0,W,2.0,89.0,1027.5,1024.2,8.2,No,No
243,2009-08-01,Albany,7.2,18.7,0.0,W,0.0,91.0,1024.2,1021.1,9.5,No,No
244,2009-08-02,Albany,9.5,16.7,0.0,N,4.0,84.0,1026.7,1024.6,13.6,No,No
245,2009-08-03,Albany,10.5,18.4,0.0,NNW,6.0,88.0,1024.2,1021.5,12.8,No,No
246,2009-08-04,Albany,11.8,18.6,0.0,N,6.0,82.0,1020.8,1017.4,14.2,No,No
247,2009-08-05,Albany,10.6,19.5,0.0,N,6.0,81.0,1012.0,1006.2,13.8,No,Yes
248,2009-08-06,Albany,12.4,15.0,7.0,SSW,13.0,77.0,1014.1,1016.2,13.0,Yes,No
249,2009-08-07,Albany,9.0,17.7,0.0,SSW,0.0,87.0,1019.2,1015.2,11.0,No,No
