,Date,Location,MinTemp,MaxTemp,Rainfall,WindSpeed9am,Humidity9am,Temp9am,RainToday,RainTomorrow
42,2009-01-12,Newcastle,18.4,28.2,0.0,0.0,70.0,23.4,No,No
43,2009-01-13,Newcastle,19.2,28.4,0.0,4.0,65.0,24.6,No,No
44,2009-01-14,Newcastle,18.6,35.2,0.0,4.0,74.0,23.0,No,No
45,2009-01-15,Newcastle,19.0,40.6,0.0,4.0,54.0,26.6,No,Yes
46,2009-01-16,Newcastle,19.6,27.0,6.6,4.0,80.0,20.6,Yes,Yes
47,2009-01-17,Newcastle,17.4,22.0,1.6,19.0,61.0,19.0,Yes,No
48,2009-01-18,Newcastle,12.2,25.0,0.0,0.0,69.0,19.6,No,No
49,2009-01-19,Newcastle,15.4,28.6,0.0,4.0,66.0,20.6,No,No
50,2009-01-20,Newcastle,15.5,35.0,0.0,4.0,69.0,22.4,No,No
51,2009-01-21,Newcastle,22.0,38.2,0.0,0.0,63.0,26.4,No,No
52,2009-01-22,Newcastle,22.2,28.8,0.0,4.0,72.0,25.4,No,Yes
53,2009-01-23,Newcastle,21.8,35.4,2.0,4.0,63.0,28.0,Yes,No
54,2009-01-24,Newcastle,23.6,40.0,0.0,9.0,53.0,30.6,No,Yes
55,2009-01-25,Newcastle,18.8,24.0,2.4,11.0,65.0,21.4,Yes,No
56,2009-01-26,Newcastle,19.2,26.4,0.0,0.0,92.0,20.6,No,No
57,2009-01-27,Newcastle,20.6,29.0,0.0,7.0,83.0,24.4,No,No
58,2009-01-28,Newcastle,20.2,30.8,0.0,4.0,81.0,24.0,No,No
59,2009-01-29,Newcastle,20.2,32.0,0.0,19.0,80.0,24.0,No,No
60,2009-01-30,Newcastle,19.8,32.2,0.0,4.0,67.0,24.0,No,No
61,2009-01-31,Newcastle,20.6,34.8,0.0,4.0,67.0,25.2,No,No
62,2009-02-01,Newcastle,19.6,31.4,0.0,0.0,75.0,23.6,No,No
63,2009-02-02,Newcastle,20.6,31.0,0.0,4.0,74.0,25.4,No,No
64,2009-02-03,Newcastle,19.6,31.8,0.0,4.0,74.0,23.0,No,No
65,2009-02-04,Newcastle,21.4,31.0,0.0,4.0,76.0,25.0,No,No
66,2009-02-05,Newcastle,21.0,34.2,0.0,4.0,74.0,24.8,No,No
67,2009-02-06,Newcastle,21.4,35.0,0.0,0.0,72.0,25.6,No,No
68,2009-02-07,Newcastle,22.2,37.8,0.0,7.0,51.0,27.4,No,No
69,2009-02-08,Newcastle,20.0,34.2,0.0,15.0,61.0,24.8,No,No
70,2009-02-09,Newcastle,20.2,27.6,0.0,7.0,77.0,24.4,No,No
71,2009-02-10,Newcastle,20.0,25.0,0.8,4.0,89.0,21.0,No,Yes
72,2009-02-11,Newcastle,17.2,23.8,13.4,11.0,94.0,17.4,Yes,Yes
73,2009-02-12,Newcastle,16.6,21.8,13.2,7.0,82.0,18.4,Yes,Yes
74,2009-02-13,Newcastle,16.4,24.4,45.4,7.0,96.0,17.0,Yes,Yes
75,2009-02-14,Newcastle,17.0,19.6,3.6,19.0,81.0,19.0,Yes,Yes
76,2009-02-15,Newcastle,17.4,22.8,147.2,0.0,100.0,18.4,Yes,Yes
77,2009-02-16,Newcastle,18.0,25.0,13.8,28.0,69.0,22.4,Yes,No
78,2009-02-17,Newcastle,18.8,23.4,0.0,9.0,73.0,21.2,No,Yes
79,2009-02-18,Newcastle,18.6,25.6,22.6,0.0,92.0,19.8,Yes,No
80,2009-02-19,Newcastle,19.0,30.0,0.0,0.0,91.0,21.0,No,Yes
81,2009-02-20,Newcastle,21.0,29.6,2.6,0.0,86.0,23.0,Yes,No
82,2009-02-21,Newcastle,22.0,25.8,0.0,6.0,78.0,24.0,No,No
83,2009-02-22,Newcastle,18.6,26.6,0.0,4.0,73.0,23.2,No,No
84,2009-02-23,Newcastle,19.0,30.6,0.0,0.0,79.0,22.4,No,Yes
85,2009-02-24,Newcastle,20.8,34.6,1.4,4.0,82.0,24.2,Yes,No
86,2009-02-25,Newcastle,21.4,27.6,0.0,0.0,82.0,23.2,No,No
87,2009-02-26,Newcastle,21.4,24.8,0.0,7.0,66.0,22.4,No,No
88,2009-02-27,Newcastle,17.6,24.6,0.0,4.0,72.0,22.0,No,No
89,2009-02-28,Newcastle,14.6,31.4,0.0,4.0,88.0,17.4,No,No
90,2009-03-01,Newcastle,14.2,26.4,0.0,7.0,75.0,23.4,No,No
91,2009-03-02,Newcastle,20.2,27.0,0.0,4.0,66.0,22.6,No,No
92,2009-03-03,Newcastle,20.2,28.0,0.0,4.0,69.0,23.6,No,No
93,2009-03-04,Newcastle,21.8,29.0,0.0,0.0,86.0,22.8,No,No
94,2009-03-05,Newcastle,12.2,23.8,0.0,4.0,53.0,17.8,No,No
95,2009-03-06,Newcastle,12.4,24.8,0.0,0.0,78.0,17.4,No,No
96,2009-03-07,Newcastle,14.6,27.2,0.0,0.0,85.0,19.4,No,No
97,2009-03-08,Newcastle,19.0,27.2,0.0,6.0,78.0,23.2,No,No
98,2009-03-09,Newcastle,20.4,26.6,0.0,19.0,71.0,23.8,No,No
99,2009-03-10,Newcastle,21.4,26.2,0.0,15.0,68.0,22.4,No,No
100,2009-03-11,Newcastle,20.0,25.8,0.0,19.0,74.0,23.6,No,No
101,2009-03-12,Newcastle,18.6,27.0,0.0,4.0,65.0,23.0,No,No
102,2009-03-13,Newcastle,18.8,28.6,0.0,4.0,77.0,21.4,No,Yes
103,2009-03-14,Newcastle,18.2,30.2,3.2,0.0,96.0,20.4,Yes,Yes
104,2009-03-15,Newcastle,17.4,32.0,4.2,0.0,86.0,21.4,Yes,No
105,2009-03-16,Newcastle,17.8,25.0,0.4,4.0,46.0,19.0,No,No
106,2009-03-17,Newcastle,12.2,25.0,0.0,0.0,62.0,18.0,No,No
107,2009-03-18,Newcastle,13.6,25.8,0.0,0.0,86.0,18.0,No,No
108,2009-03-19,Newcastle,14.4,29.0,0.0,0.0,88.0,18.4,No,No
109,2009-03-20,Newcastle,17.8,28.2,0.0,0.0,83.0,22.6,No,No
110,2009-03-21,Newcastle,18.8,26.6,0.0,4.0,91.0,22.0,No,No
111,2009-03-22,Newcastle,16.2,27.4,0.0,0.0,87.0,21.4,No,No
112,2009-03-23,Newcastle,15.4,28.6,0.0,0.0,82.0,19.5,No,No
113,2009-03-24,Newcastle,17.0,30.2,0.0,0.0,87.0,20.6,No,No
114,2009-03-25,Newcastle,17.8,31.4,0.0,4.0,81.0,20.0,No,No
115,2009-03-26,Newcastle,16.4,31.2,0.0,4.0,83.0,20.0,No,Yes
116,2009-03-27,Newcastle,19.8,25.6,2.2,19.0,74.0,22.0,Yes,No
117,2009-03-28,Newcastle,15.6,25.4,0.0,0.0,78.0,20.4,No,No
118,2009-03-29,Newcastle,15.2,25.8,0.0,0.0,81.0,20.4,No,No
119,2009-03-30,Newcastle,19.2,25.8,0.0,4.0,72.0,22.0,No,Yes
120,2009-03-31,Newcastle,17.4,22.8,35.2,28.0,72.0,21.4,Yes,Yes
121,2009-04-01,Newcastle,19.4,23.8,21.8,11.0,86.0,22.2,Yes,Yes
122,2009-04-02,Newcastle,19.2,26.2,67.0,0.0,91.0,21.6,Yes,No
123,2009-04-03,Newcastle,20.0,27.0,0.0,0.0,81.0,22.8,No,No
124,2009-04-04,Newcastle,19.0,27.0,0.0,0.0,81.0,20.0,No,Yes
125,2009-04-05,Newcastle,17.0,25.0,2.0,0.0,58.0,22.0,Yes,No
126,2009-04-06,Newcastle,16.0,23.5,1.0,0.0,77.0,20.0,No,No
127,2009-04-07,Newcastle,14.25,22.75,0.0,0.0,77.0,20.0,No,No
128,2009-04-08,Newcastle,13.375,22.0,0.0,0.0,77.0,20.0,No,No
129,2009-04-09,Newcastle,12.5,23.0,1.0,0.0,77.0,20.0,No,No
130,2009-04-10,Newcastle,13.0,24.75,0.0,0.0,90.0,18.0,No,No
131,2009-04-11,Newcastle,13.75,25.625,0.0,0.0,90.5,19.5,No,No
132,2009-04-12,Newcastle,14.125,26.5,0.0,0.0,90.75,20.25,No,No
133,2009-04-13,Newcastle,14.5,23.0,0.0,0.0,91.0,21.0,No,Yes
134,2009-04-14,Newcastle,17.5,26.5,4.0,0.0,95.0,19.5,Yes,No
135,2009-04-15,Newcastle,16.5,28.0,0.0,0.0,73.5,19.75,No,No
136,2009-04-16,Newcastle,15.5,25.15,0.0,0.0,52.0,20.0,No,No
137,2009-04-17,Newcastle,14.95,23.725,0.0,11.0,66.5,19.6,No,Yes
138,2009-04-18,Newcastle,14.675,23.012500000000003,2.0,16.5,73.75,19.4,Yes,Yes
139,2009-04-19,Newcastle,14.537500000000001,22.3,14.0,22.0,81.0,19.2,Yes,Yes
140,2009-04-20,Newcastle,14.4,21.3,10.0,37.0,62.0,20.1,Yes,Yes
141,2009-04-21,Newcastle,17.2,22.2,8.8,19.0,65.0,20.4,Yes,No
142,2009-04-22,Newcastle,14.9,20.7,0.4,0.0,87.0,17.9,No,Yes
143,2009-04-23,Newcastle,12.25,22.3,2.0,4.0,82.0,18.4,Yes,No
144,2009-04-24,Newcastle,9.6,22.2,0.0,2.0,97.0,13.2,No,No
145,2009-04-25,Newcastle,12.8,24.2,0.0,9.0,62.0,19.0,No,No
146,2009-04-26,Newcastle,14.4,22.2,0.0,14.0,46.0,20.9,No,No
147,2009-04-27,Newcastle,9.2,19.8,0.0,19.0,53.0,13.9,No,No
148,2009-04-28,Newcastle,7.8,22.6,0.0,28.0,54.0,17.8,No,No
149,2009-04-29,Newcastle,9.4,19.2,0.0,0.0,66.0,15.0,No,Yes
150,2009-04-30,Newcastle,12.6,20.0,5.6,9.0,75.0,14.5,Yes,Yes
151,2009-05-01,Newcastle,10.3,21.6,5.6,0.0,80.0,16.0,Yes,No
152,2009-05-02,Newcastle,9.7,22.8,0.0,0.0,81.0,15.8,No,Yes
153,2009-05-03,Newcastle,13.8,20.3,18.6,0.0,81.0,16.6,Yes,No
154,2009-05-04,Newcastle,9.7,22.4,0.0,4.0,89.0,14.9,No,Yes
155,2009-05-05,Newcastle,13.0,20.4,7.2,2.0,94.0,16.2,Yes,Yes
156,2009-05-06,Newcastle,12.4,21.7,6.0,0.0,91.0,15.4,Yes,No
157,2009-05-07,Newcastle,9.6,22.8,0.0,4.0,76.0,15.6,No,Yes
158,2009-05-08,Newcastle,11.5,17.6,1.2,4.0,81.0,16.2,Yes,Yes
159,2009-05-09,Newcastle,9.4,21.9,5.4,0.0,92.0,13.6,Yes,No
160,2009-05-10,Newcastle,10.05,18.8,0.0,0.0,75.0,15.8,No,Yes
161,2009-05-11,Newcastle,10.7,19.5,11.8,0.0,87.0,13.5,Yes,No
162,2009-05-12,Newcastle,6.4,20.7,0.0,4.0,81.0,12.6,No,No
163,2009-05-13,Newcastle,7.4,21.2,0.0,0.0,72.0,13.0,No,No
164,2009-05-14,Newcastle,7.5,21.2,0.0,0.0,58.0,13.8,No,No
165,2009-05-15,Newcastle,10.3,22.3,0.0,6.0,56.0,15.1,No,No
166,2009-05-16,Newcastle,13.8,23.4,0.0,19.0,49.0,16.8,No,No
167,2009-05-17,Newcastle,8.2,20.6,0.0,0.0,74.0,14.0,No,No
168,2009-05-18,Newcastle,10.6,22.2,0.0,0.0,79.0,15.2,No,Yes
169,2009-05-19,Newcastle,14.5,19.7,2.6,0.0,84.0,16.6,Yes,Yes
170,2009-05-20,Newcastle,12.6,21.7,13.2,6.0,62.0,18.2,Yes,Yes
171,2009-05-21,Newcastle,15.6,20.5,3.8,46.0,61.0,19.3,Yes,Yes
172,2009-05-22,Newcastle,15.4,20.8,14.0,46.0,64.0,18.6,Yes,Yes
173,2009-05-23,Newcastle,14.2,22.6,32.7,28.0,72.0,20.4,Yes,No
174,2009-05-24,Newcastle,15.6,22.2,0.0,0.0,75.0,18.5,No,Yes
175,2009-05-25,Newcastle,15.0,21.5,2.0,0.0,93.0,17.2,Yes,No
176,2009-05-26,Newcastle,11.5,21.0,0.0,4.0,97.0,13.8,No,No
177,2009-05-27,Newcastle,11.8,21.9,0.0,0.0,75.0,16.5,No,No
178,2009-05-28,Newcastle,11.8,19.8,0.0,2.0,84.0,16.0,No,Yes
179,2009-05-29,Newcastle,12.5,19.1,21.6,4.0,83.0,13.5,Yes,Yes
180,2009-05-30,Newcastle,11.2,18.5,2.6,2.0,86.0,13.0,Yes,Yes
181,2009-05-31,Newcastle,12.2,20.0,8.6,0.0,97.0,14.6,Yes,No
182,2009-06-01,Newcastle,10.8,17.8,0.0,0.0,82.0,14.4,No,No
183,2009-06-02,Newcastle,11.2,20.7,0.0,0.0,88.0,15.5,No,Yes
184,2009-06-03,Newcastle,14.3,20.7,3.4,0.0,97.0,15.8,Yes,No
185,2009-06-04,Newcastle,12.2,18.2,0.0,4.0,97.0,14.2,No,No
186,2009-06-05,Newcastle,12.2,19.8,0.4,2.0,94.0,14.9,No,No
187,2009-06-06,Newcastle,7.4,19.4,0.0,4.0,76.0,12.0,No,No
188,2009-06-07,Newcastle,9.0,19.2,0.0,4.0,86.0,11.3,No,No
189,2009-06-08,Newcastle,10.5,19.0,0.0,19.0,68.0,15.0,No,No
190,2009-06-09,Newcastle,9.7,16.5,0.0,9.0,68.0,12.8,No,No
191,2009-06-10,Newcastle,9.2,15.2,0.0,28.0,69.0,11.5,No,No
192,2009-06-11,Newcastle,3.7,14.3,0.0,0.0,53.0,13.8,No,No
193,2009-06-12,Newcastle,4.2,16.3,0.0,6.0,65.0,8.6,No,No
194,2009-06-13,Newcastle,5.0,18.0,0.0,0.0,72.0,9.0,No,No
195,2009-06-14,Newcastle,6.8,20.0,0.0,0.0,72.0,10.4,No,No
196,2009-06-15,Newcastle,6.6,20.2,0.0,4.0,74.0,12.8,No,No
197,2009-06-16,Newcastle,6.8,15.4,0.0,0.0,78.0,11.2,No,Yes
198,2009-06-17,Newcastle,10.3,17.0,71.4,0.0,94.0,12.5,Yes,Yes
199,2009-06-18,Newcastle,10.7,17.0,12.2,0.0,97.0,13.0,Yes,Yes
200,2009-06-19,Newcastle,12.3,17.5,7.0,0.0,96.0,13.2,Yes,Yes
201,2009-06-20,Newcastle,12.0,18.5,22.0,0.0,93.0,15.0,Yes,Yes
202,2009-06-21,Newcastle,12.6,19.5,4.0,0.0,91.0,15.0,Yes,Yes
203,2009-06-22,Newcastle,13.8,19.2,23.6,4.0,94.0,15.0,Yes,No
204,2009-06-23,Newcastle,8.8,21.6,0.0,0.0,97.0,10.5,No,No
205,2009-06-24,Newcastle,7.7,21.0,0.2,2.0,94.0,10.5,No,No
206,2009-06-25,Newcastle,6.8,17.8,0.2,4.0,64.0,11.5,No,No
207,2009-06-26,Newcastle,7.9,18.9,0.0,2.0,76.0,11.9,No,No
208,2009-06-27,Newcastle,9.3,18.75,0.2,0.0,83.0,11.4,No,No
209,2009-06-28,Newcastle,9.15,18.6,0.0,9.5,89.0,11.8,No,No
210,2009-06-29,Newcastle,9.0,18.8,0.0,19.0,95.0,12.2,No,No
211,2009-06-30,Newcastle,9.8,18.6,0.0,0.0,68.0,12.6,No,No
212,2009-07-01,Newcastle,10.2,22.0,0.0,0.0,67.0,15.8,No,No
213,2009-07-02,Newcastle,10.2,19.0,0.0,4.0,51.0,13.5,No,No
214,2009-07-03,Newcastle,11.0,17.9,0.0,46.0,47.0,12.5,No,No
215,2009-07-04,Newcastle,7.0,17.85,0.0,15.0,62.0,10.5,No,No
216,2009-07-05,Newcastle,5.1,17.8,0.0,7.5,75.0,8.15,No,No
217,2009-07-06,Newcastle,3.2,16.1,0.0,0.0,88.0,5.8,No,Yes
218,2009-07-07,Newcastle,5.8,15.0,1.6,0.0,80.0,10.6,Yes,Yes
219,2009-07-08,Newcastle,8.5,16.4,7.2,0.0,92.0,12.2,Yes,Yes
220,2009-07-09,Newcastle,6.8,17.6,5.2,0.0,95.0,11.2,Yes,Yes
221,2009-07-10,Newcastle,8.2,17.2,2.0,0.0,97.0,11.5,Yes,No
222,2009-07-11,Newcastle,5.5,17.3,0.0,0.0,93.0,9.5,No,No
223,2009-07-12,Newcastle,6.8,15.8,0.0,2.0,89.0,10.0,No,No
224,2009-07-13,Newcastle,9.7,16.0,0.0,13.0,80.0,14.0,No,No
225,2009-07-14,Newcastle,7.6,16.8,0.0,11.0,73.0,12.0,No,No
226,2009-07-15,Newcastle,4.9,16.8,0.0,0.0,82.0,9.8,No,No
227,2009-07-16,Newcastle,7.2,13.5,0.0,6.0,88.0,9.5,No,Yes
228,2009-07-17,Newcastle,9.0,16.5,8.0,4.0,87.0,10.5,Yes,No
229,2009-07-18,Newcastle,5.8,17.35,0.0,4.0,83.0,11.4,No,No
230,2009-07-19,Newcastle,5.6,18.2,0.0,2.0,79.0,11.2,No,No
231,2009-07-20,Newcastle,5.4,19.8,0.0,0.0,75.0,11.0,No,No
232,2009-07-21,Newcastle,4.5,21.1,0.0,0.0,79.0,9.6,No,No
233,2009-07-22,Newcastle,9.3,23.8,0.0,0.0,60.0,18.2,No,Yes
234,2009-07-23,Newcastle,11.5,19.0,3.4,9.0,74.0,14.2,Yes,Yes
235,2009-07-24,Newcastle,8.2,16.4,1.4,6.0,68.0,11.7,Yes,No
236,2009-07-25,Newcastle,4.4,18.8,0.0,4.0,94.0,8.0,No,No
237,2009-07-26,Newcastle,7.5,13.8,0.0,0.0,87.0,9.4,No,Yes
238,2009-07-27,Newcastle,7.2,18.8,2.0,4.0,75.0,11.2,Yes,No
239,2009-07-28,Newcastle,6.8,18.0,0.0,9.0,65.0,11.4,No,No
240,2009-07-29,Newcastle,5.0,18.25,0.0,9.0,91.0,11.8,No,No
241,2009-07-30,Newcastle,6.7,18.5,0.0,8.0,76.5,12.3,No,No
242,2009-07-31,Newcastle,8.4,18.8,0.0,7.0,62.0,12.8,No,No
243,2009-08-01,Newcastle,5.8,18.0,0.0,4.0,73.0,11.2,No,No
244,2009-08-02,Newcastle,4.2,18.4,0.0,4.0,67.0,12.0,No,No
245,2009-08-03,Newcastle,7.0,20.2,0.0,6.0,63.0,13.0,No,No
246,2009-08-04,Newcastle,6.6,18.8,0.0,2.0,83.0,9.5,No,No
247,2009-08-05,Newcastle,4.4,18.9,0.0,0.0,67.0,11.8,No,No
248,2009-08-06,Newcastle,4.4,19.8,0.0,2.0,79.0,10.2,No,No
249,2009-08-07,Newcastle,5.6,23.2,0.0,0.0,75.0,10.4,No,No
250,2009-08-08,Newcastle,6.8,16.8,0.0,6.0,51.0,11.6,No,No
251,2009-08-09,Newcastle,3.8,17.9,0.0,4.0,68.0,10.0,No,No
252,2009-08-10,Newcastle,3.8,21.5,0.0,0.0,86.0,9.6,No,No
253,2009-08-11,Newcastle,9.6,18.2,0.0,0.0,76.0,12.6,No,No
254,2009-08-12,Newcastle,7.5,21.5,0.0,4.0,61.0,14.5,No,No
255,2009-08-13,Newcastle,6.8,21.5,0.0,4.0,60.0,12.0,No,No
256,2009-08-14,Newcastle,7.0,20.4,0.0,0.0,67.0,13.5,No,No
257,2009-08-15,Newcastle,5.8,21.8,0.0,9.0,62.0,12.8,No,No
258,2009-08-16,Newcastle,6.4,24.8,0.0,2.0,53.0,13.8,No,No
259,2009-08-17,Newcastle,12.6,23.0,0.0,4.0,56.0,20.6,No,No
260,2009-08-18,Newcastle,8.0,19.0,0.0,4.0,55.0,11.9,No,No
261,2009-08-19,Newcastle,4.5,20.0,0.0,0.0,87.0,10.0,No,No
262,2009-08-20,Newcastle,6.8,22.5,0.0,4.0,81.0,11.5,No,No
263,2009-08-21,Newcastle,7.6,24.0,0.0,2.0,55.0,16.6,No,No
264,2009-08-22,Newcastle,14.2,20.5,0.0,0.0,70.0,16.3,No,No
265,2009-08-23,Newcastle,11.6,26.8,0.0,0.0,70.0,17.2,No,No
266,2009-08-24,Newcastle,13.8,28.6,0.0,0.0,65.0,20.6,No,No
267,2009-08-25,Newcastle,15.2,21.2,0.0,37.0,26.0,19.0,No,No
268,2009-08-26,Newcastle,13.0,22.6,0.0,9.0,38.0,16.2,No,No
269,2009-08-27,Newcastle,8.8,24.5,0.0,4.0,45.0,15.5,No,No
270,2009-08-28,Newcastle,8.4,26.0,0.0,11.0,35.0,17.4,No,No
271,2009-08-29,Newcastle,12.6,26.7,0.2,0.0,68.0,14.5,No,No
272,2009-08-30,Newcastle,14.0,21.7,0.2,28.0,46.0,18.0,No,No
273,2009-08-31,Newcastle,7.4,20.4,0.0,6.0,47.0,12.5,No,No
274,2009-09-01,Newcastle,11.2,22.2,0.0,4.0,47.0,15.2,No,No
275,2009-09-02,Newcastle,7.2,20.2,0.0,0.0,75.0,13.6,No,No
276,2009-09-03,Newcastle,9.7,23.2,0.0,0.0,81.0,15.3,No,Yes
277,2009-09-04,Newcastle,13.6,23.8,8.0,4.0,93.0,14.6,Yes,Yes
278,2009-09-05,Newcastle,11.5,19.8,6.0,0.0,67.0,16.5,Yes,No
279,2009-09-06,Newcastle,7.3,20.15,0.0,0.0,73.0,14.9,No,No
280,2009-09-07,Newcastle,7.85,20.5,0.0,2.0,65.0,15.25,No,No
281,2009-09-08,Newcastle,8.4,20.5,0.8,4.0,57.0,15.6,No,No
282,2009-09-09,Newcastle,9.7,20.5,0.0,28.0,59.0,14.5,No,No
283,2009-09-10,Newcastle,7.2,22.2,0.0,6.0,57.0,14.5,No,No
284,2009-09-11,Newcastle,6.5,23.0,0.0,6.0,54.0,16.0,No,No
285,2009-09-12,Newcastle,7.5,29.4,0.0,2.0,47.0,17.6,No,No
286,2009-09-13,Newcastle,10.0,30.6,0.0,1.0,38.0,21.6,No,No
287,2009-09-14,Newcastle,13.6,31.200000000000003,0.0,0.5,65.5,19.4,No,No
288,2009-09-15,Newcastle,15.399999999999999,31.5,0.0,0.25,79.25,18.299999999999997,No,No
289,2009-09-16,Newcastle,16.299999999999997,31.65,0.0,0.125,86.125,17.75,No,No
290,2009-09-17,Newcastle,16.75,31.8,0.0,0.0,93.0,17.2,No,No
291,2009-09-18,Newcastle,17.2,25.2,0.0,6.0,51.0,22.4,No,No
292,2009-09-19,Newcastle,13.4,26.6,0.0,0.0,65.0,19.0,No,No
293,2009-09-20,Newcastle,13.7,28.0,0.0,5.5,69.5,19.0,No,No
294,2009-09-21,Newcastle,14.0,23.5,0.0,11.0,74.0,19.0,No,No
295,2009-09-22,Newcastle,14.4,30.2,0.0,11.0,66.0,22.6,No,No
296,2009-09-23,Newcastle,16.4,19.5,0.0,83.0,37.0,16.6,No,No
297,2009-09-24,Newcastle,12.6,25.0,0.0,15.0,46.0,18.0,No,No
298,2009-09-25,Newcastle,9.3,27.0,0.0,9.0,43.0,18.3,No,No
299,2009-09-26,Newcastle,11.8,22.2,0.0,74.0,38.0,19.6,No,No
300,2009-09-27,Newcastle,9.2,19.4,0.0,74.0,29.0,14.5,No,No
301,2009-09-28,Newcastle,8.2,22.3,0.0,37.0,40.0,15.5,No,No
302,2009-09-29,Newcastle,6.8,24.75,0.0,4.0,46.0,16.5,No,No
303,2009-09-30,Newcastle,7.4,27.2,0.0,4.0,39.0,18.0,No,No
304,2009-10-01,Newcastle,8.0,33.5,0.0,4.0,32.0,19.5,No,No
305,2009-10-02,Newcastle,13.8,22.3,0.0,28.0,65.0,20.4,No,Yes
306,2009-10-03,Newcastle,15.2,17.5,4.4,19.0,94.0,16.5,Yes,Yes
307,2009-10-04,Newcastle,14.0,20.0,11.6,9.0,59.0,17.2,Yes,Yes
308,2009-10-05,Newcastle,12.5,19.0,2.4,0.0,93.0,15.2,Yes,Yes
309,2009-10-06,Newcastle,8.5,19.7,5.8,0.0,81.0,15.4,Yes,No
310,2009-10-07,Newcastle,9.15,20.4,0.0,18.5,66.0,14.7,No,No
311,2009-10-08,Newcastle,9.8,18.5,0.0,37.0,51.0,14.0,No,No
312,2009-10-09,Newcastle,10.5,17.2,0.2,4.0,66.0,13.0,No,Yes
313,2009-10-10,Newcastle,10.3,21.0,8.0,6.0,77.0,14.0,Yes,No
314,2009-10-11,Newcastle,9.8,22.5,0.0,4.0,94.0,13.0,No,Yes
